,index,Tokens_originals,Originals,Sources,Originals_count,Sources_count,Sources_density,Originals_density,Sources_use_density
10,confus,{'confusing': 5},"['Participants’ feedback from the questionnaire was also clearly against the superimposed chart and it was ranked lowest by all but one participant. Participants called it very confusing and demanding too much concentration or reflection to decipher the non-monotonic and discontinuous nature of the two scales. One participant commented that the different visual markers which were necessary to depict data in this chart were a major reason for his confusion.', 'Hiding arrows using A and EA, if important structures would be occluded, made sense to all participants. However, for this task, it was confusing because direction information was missing in dense regions. This indicates that the correctness could have suffered because the participants started guessing. In contrast, the completion time might have been increased because it takes longer to come to a decision. Visualization with C and T can be recognized very well in dense regions; this is especially true for T because it is very simple. These two methods are also reported to be pleasant, since they guide the eyes. The direction encoding with C was not intuitive for some participants.\n(...)\nThe participants commented that the splats used in SP made it hard to decide between two similar clusters because there is nearly no difference in brightness. However, the SP enabled them to identify locations within a cluster where several points are very close to each other. Some had the feeling that they solved the task faster when NSP was used. All participants commented that this task was in general hard to solve.', 'participants commented that the linear design helped them browsing elements (H4). On the contrary, 7 out of 13 commented on the fact that the lines were “wiggly and visually distracting when counting the elements”, “intersecting in a confusing way” and “hard to tell apart”. A few participants also commented that they would get lost following the lines and had to start counting again from the beginning.\n\nparticipants commented that “the overlapping color blobs made it near impossible to figure out how many were overlapping”, “creating visual chaos” and a few participants commented that they “could not find a thing in there”.', 'Visual Design.\n\nMost of the users agreed that our visual design could intuitively convey the semantic information. Given that we use the scatterplot as our visualization, they found it easy for them to recognize the images and their similarities. However, one user indicated that the estimation of image similarities was not so easy, as the visualization can be explored in different scales, which sometimes hampered his estimation of the distances. Another user mentioned that it would be more useful if the images can be visualized temporally for the task of image management. In addition, three users made comments about the color. One of them thought the color is appropriate, which provided her an impression of the starry sky. Two of them thought the color is a little confusing as it did not well distinguish between different semantic clusters. Due to the limitation of our clustering method, however, some semantically similar images may be assigned to different groups. Moreover, one user thought that it was not efficient to show all the text in the same size. He hoped that important words could be highlighted by a larger text to attract his attention.', 'comments sorted under ""Visibility"" (from additional content of the paper):\n\nEasy to find the names\nHard/confusing to find people\nEverything is visible\nI cannot see everything at once/I want to zoom out or summarization view\nSummary of selections needed\nTook too much space\nCrowded view\nHaving a big map is convenient\nConfusing to have several maps\nIt shows things better']","['https://dx.doi.org/10.1109/TVCG.2011.160', 'https://dx.doi.org/10.1109/TVCG.2014.2346420', 'https://dx.doi.org/10.1109/TVCG.2013.76', 'https://dx.doi.org/10.1109/TVCG.2018.2835485', 'https://dx.doi.org/10.1109/TVCG.2022.3209480']",5,5,0.14285714285714285,0.14285714285714285,1.0
11,rich,{'rich': 1},"['The major benefits of RelEx most frequently stated by our participants were the overview RelEx provides, the rich and usable exploration opportunities, its comprehensibility, the ability to easily communicate with colleagues using RelEx, and the ability to speed up and simplify a variety of their daily tasks.\n\nFour participants also particularly stressed the value of the SignalPath View as it shows all relevant elements of signal paths in an easily understandable and usable way, while with previous tools this information had to be derived with a manual stepby- step process.']",['https://dx.doi.org/10.1109/TVCG.2012.255'],1,1,0.02857142857142857,0.02857142857142857,1.0
12,usabl,{'usable': 1},"['The major benefits of RelEx most frequently stated by our participants were the overview RelEx provides, the rich and usable exploration opportunities, its comprehensibility, the ability to easily communicate with colleagues using RelEx, and the ability to speed up and simplify a variety of their daily tasks.\n\nFour participants also particularly stressed the value of the SignalPath View as it shows all relevant elements of signal paths in an easily understandable and usable way, while with previous tools this information had to be derived with a manual stepby- step process.']",['https://dx.doi.org/10.1109/TVCG.2012.255'],1,1,0.02857142857142857,0.02857142857142857,1.0
13,comprehens,{'comprehensibly': 1},"['The major benefits of RelEx most frequently stated by our participants were the overview RelEx provides, the rich and usable exploration opportunities, its comprehensibility, the ability to easily communicate with colleagues using RelEx, and the ability to speed up and simplify a variety of their daily tasks.\n\nFour participants also particularly stressed the value of the SignalPath View as it shows all relevant elements of signal paths in an easily understandable and usable way, while with previous tools this information had to be derived with a manual stepby- step process.']",['https://dx.doi.org/10.1109/TVCG.2012.255'],1,1,0.02857142857142857,0.02857142857142857,1.0
14,easili,{'easily': 3},"['The major benefits of RelEx most frequently stated by our participants were the overview RelEx provides, the rich and usable exploration opportunities, its comprehensibility, the ability to easily communicate with colleagues using RelEx, and the ability to speed up and simplify a variety of their daily tasks.\n\nFour participants also particularly stressed the value of the SignalPath View as it shows all relevant elements of signal paths in an easily understandable and usable way, while with previous tools this information had to be derived with a manual stepby- step process.', 'Especially the physicians pointed out that the clear connection between data and anatomy felt more intuitive to them than in the old representation.\n\nWe also observed that experts usually interpreted the direction correctly, however, many required 3D scene interaction to do so. One physician mentioned that it would be advantageous if shear forces could be spotted more easily.', '“I feel like this is providing useful insight and... the sentiment easily got me to the areas in the video where the user was confused.”-P5-1 Another reason was that “the icons and sentiments are very easy to understand.”-P4-1\n\n“I actually almost paid all of my attention on the scrolling speed. Compared to the icons, I definitely prefer to look at the visualizations.”-P1-2 “I looked at the peak of the waves of the scrolling speed just to double-check what was happening.”-P6-1 Also, P3-1 thought the scrolling speed was useful, but would like to see numbers instead of a relative scale from “slow” to “fast.” \n\nHowever, these two features were relatively less used. One reason was that “they are too far away from the video so while I’m watching the video I couldn’t see that information.”-P2-2 In addition, P4-2 mentioned “I didn’t really look at the scrolling speed, because I think this is not super relevant to this task.”\n\nInterestingly, participants also used a combination of different features to better locate segments that contained usability problems. “In the same column, if there were two or more icons that show abnormalities,\r I paid more attention to it because it’s more obvious.”-P1-2']","['https://dx.doi.org/10.1109/TVCG.2012.255', 'https://dx.doi.org/10.1109/TVCG.2020.3030388', 'https://dx.doi.org/10.1109/TVCG.2021.3114822']",3,3,0.08571428571428572,0.08571428571428572,1.0
15,simplic,{'simplicity': 1},"['The major benefits of RelEx most frequently stated by our participants were the overview RelEx provides, the rich and usable exploration opportunities, its comprehensibility, the ability to easily communicate with colleagues using RelEx, and the ability to speed up and simplify a variety of their daily tasks.\n\nFour participants also particularly stressed the value of the SignalPath View as it shows all relevant elements of signal paths in an easily understandable and usable way, while with previous tools this information had to be derived with a manual stepby- step process.']",['https://dx.doi.org/10.1109/TVCG.2012.255'],1,1,0.02857142857142857,0.02857142857142857,1.0
16,speed,{'speed': 1},"['The major benefits of RelEx most frequently stated by our participants were the overview RelEx provides, the rich and usable exploration opportunities, its comprehensibility, the ability to easily communicate with colleagues using RelEx, and the ability to speed up and simplify a variety of their daily tasks.\n\nFour participants also particularly stressed the value of the SignalPath View as it shows all relevant elements of signal paths in an easily understandable and usable way, while with previous tools this information had to be derived with a manual stepby- step process.']",['https://dx.doi.org/10.1109/TVCG.2012.255'],1,1,0.02857142857142857,0.02857142857142857,1.0
17,understand,"{'understandable': 1, 'understand': 9}","['The major benefits of RelEx most frequently stated by our participants were the overview RelEx provides, the rich and usable exploration opportunities, its comprehensibility, the ability to easily communicate with colleagues using RelEx, and the ability to speed up and simplify a variety of their daily tasks.\n\nFour participants also particularly stressed the value of the SignalPath View as it shows all relevant elements of signal paths in an easily understandable and usable way, while with previous tools this information had to be derived with a manual stepby- step process.', 'Based on free response questions and interviews with the moderator, participants felt overall that Outflow was “pretty”, “looks cool”, and that the colors were “very meaningful”. They said that it provides a “good high level view” that encodes a lot of information into a single “simple to follow” visualization. In addition, users felt that the ability to see outcome associated with alternative paths out of (or into) a given state, and not just the state itself, is a powerful feature. “I like the difference between states and transitions [which allowed me] to compare two paths to the same state and to understand differences.” Another participant commented that “highlighting of paths was very helpful.”', 'Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.', 'Lessons Learned from the Readability Study\nThe results of our user study indicate that story curves are easily graspable. A number of participants commented that it is fun and enjoyable to learn about story curves; e.g., P5: “[...] a lot of fun!”, P10: “[...] an interesting experiment to understand narrative and story in graphics.”, and P11: “I was able to recognize Memento’s curve. It is a totally fascinating idea.”. Some participants struggled to understand the design of story curves; e.g, P3: “Putting the origin at the upper left corner was initially disorientating”, P9: “I needed to remind myself that one thing is narrative and the other is chronological.”', 'Expressive Visual Design Improve Data Comprehension\nParticipants also provided other positive comments on DataShot’s visual design. They all agreed the visualization presented in DataShot is easy to understand. Participants commented regarding the visual design that “...(DataShot) provides meaningful annotations for me to understand the data better” (P1, male, 22), and “the short description (of each fact sheet elements) helps me dive into the content of the data” (P3, male, 22). At the same time, participants commented on the expressiveness of DataShot, “The visual design is quite rich...I have plenty of choices to show the data from different aspects” (P9, female, 29). Moreover, participants also commented on the attractiveness of the fact sheet design. “I got a rough idea after I read the data, but DataShot presents the data in a more thought-provoking and eye-catching way” (P9, female, 29). One participant (P7, male, 22) noted, “I want to copy the charts into my presentation slides”. However, participants also pointed out that such an auto-generated process could diminish the diversity and decrease the creativity of the final output, which could hamper the expressiveness.', 'They agreed that the orientation plot (cf. Fig. 6) is suitable to discern valves with high and low directional variance (S(++)=2,S(+)=4). Furthermore, they could interpret motion of the whole valve inside the heart using the position path (S(++) = 2,S(+) = 4) and all experts stated they could understand the orientation of the path due to the linkage to the 3D+t view perspective.', 'Reviewing open-ended feedback showed us that difficulty under standing was attributed to unfamiliarity with a visualization: “It was somewhat challenging because I’m not familiar with this type of graph. Additionally, the abstract nature of our graph systems, and also novelty effects influenced difficulty. P111 says, “Their abstract nature was the most difficult to understand. Observing this with a real life example would make it easier to visualize and conceptualize.” Finally, our participants indicated that they used both visualization and narratives for causal inference: “I think having both the summary and the color coded chart makes it much easier to understand [...].”', '“I feel like this is providing useful insight and... the sentiment easily got me to the areas in the video where the user was confused.”-P5-1 Another reason was that “the icons and sentiments are very easy to understand.”-P4-1\n\n“I actually almost paid all of my attention on the scrolling speed. Compared to the icons, I definitely prefer to look at the visualizations.”-P1-2 “I looked at the peak of the waves of the scrolling speed just to double-check what was happening.”-P6-1 Also, P3-1 thought the scrolling speed was useful, but would like to see numbers instead of a relative scale from “slow” to “fast.” \n\nHowever, these two features were relatively less used. One reason was that “they are too far away from the video so while I’m watching the video I couldn’t see that information.”-P2-2 In addition, P4-2 mentioned “I didn’t really look at the scrolling speed, because I think this is not super relevant to this task.”\n\nInterestingly, participants also used a combination of different features to better locate segments that contained usability problems. “In the same column, if there were two or more icons that show abnormalities,\r I paid more attention to it because it’s more obvious.”-P1-2', 'TAM also received two neutral assessments, justified by the participants who affirmed that “to completely understand TAM it is necessary to have a better knowledge of the network”, and that “TAM needs better interaction techniques, such as the selection of a node in the nodelink diagram and its automatic selection in the TAM layout”. We implemented this feature after the user study. Besides those neutral and negative assessments, participants considered that “the integration of all layouts facilitated the analysis and each brought a different aspect of the network being analyzed”. Another participant even complemented this idea by explaining that “the Taxonomy Matrix allows a quick interpretation of communities, the node-link diagram is very useful to analyze the cases separately, and TAM adds the missing temporal information”.', 'We got comments like “Interface is user friendly”, “Causal network gives control and flexibility”, “Causal network is very intuitive and easy to understand”, “Causal network is a great way to understand relationships between features”']","['https://dx.doi.org/10.1109/TVCG.2012.255', 'https://dx.doi.org/10.1109/TVCG.2012.189', 'https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2017.2744118', 'https://dx.doi.org/10.1109/TVCG.2019.2934784', 'https://dx.doi.org/10.1109/TVCG.2019.2934337', 'https://dx.doi.org/10.1109/TVCG.2020.3030358', 'https://dx.doi.org/10.1109/TVCG.2021.3114822', 'https://dx.doi.org/10.1109/TVCG.2022.3209477', 'https://dx.doi.org/10.1109/TVCG.2022.3209484']",10,10,0.2857142857142857,0.2857142857142857,1.0
18,meaning,{'meaningful': 2},"['Based on free response questions and interviews with the moderator, participants felt overall that Outflow was “pretty”, “looks cool”, and that the colors were “very meaningful”. They said that it provides a “good high level view” that encodes a lot of information into a single “simple to follow” visualization. In addition, users felt that the ability to see outcome associated with alternative paths out of (or into) a given state, and not just the state itself, is a powerful feature. “I like the difference between states and transitions [which allowed me] to compare two paths to the same state and to understand differences.” Another participant commented that “highlighting of paths was very helpful.”', 'Expressive Visual Design Improve Data Comprehension\nParticipants also provided other positive comments on DataShot’s visual design. They all agreed the visualization presented in DataShot is easy to understand. Participants commented regarding the visual design that “...(DataShot) provides meaningful annotations for me to understand the data better” (P1, male, 22), and “the short description (of each fact sheet elements) helps me dive into the content of the data” (P3, male, 22). At the same time, participants commented on the expressiveness of DataShot, “The visual design is quite rich...I have plenty of choices to show the data from different aspects” (P9, female, 29). Moreover, participants also commented on the attractiveness of the fact sheet design. “I got a rough idea after I read the data, but DataShot presents the data in a more thought-provoking and eye-catching way” (P9, female, 29). One participant (P7, male, 22) noted, “I want to copy the charts into my presentation slides”. However, participants also pointed out that such an auto-generated process could diminish the diversity and decrease the creativity of the final output, which could hamper the expressiveness.']","['https://dx.doi.org/10.1109/TVCG.2012.189', 'https://dx.doi.org/10.1109/TVCG.2019.2934784']",2,2,0.05714285714285714,0.05714285714285714,1.0
19,view,{'view': 1},"['Based on free response questions and interviews with the moderator, participants felt overall that Outflow was “pretty”, “looks cool”, and that the colors were “very meaningful”. They said that it provides a “good high level view” that encodes a lot of information into a single “simple to follow” visualization. In addition, users felt that the ability to see outcome associated with alternative paths out of (or into) a given state, and not just the state itself, is a powerful feature. “I like the difference between states and transitions [which allowed me] to compare two paths to the same state and to understand differences.” Another participant commented that “highlighting of paths was very helpful.”']",['https://dx.doi.org/10.1109/TVCG.2012.189'],1,1,0.02857142857142857,0.02857142857142857,1.0
20,help,{'helpful': 2},"['Based on free response questions and interviews with the moderator, participants felt overall that Outflow was “pretty”, “looks cool”, and that the colors were “very meaningful”. They said that it provides a “good high level view” that encodes a lot of information into a single “simple to follow” visualization. In addition, users felt that the ability to see outcome associated with alternative paths out of (or into) a given state, and not just the state itself, is a powerful feature. “I like the difference between states and transitions [which allowed me] to compare two paths to the same state and to understand differences.” Another participant commented that “highlighting of paths was very helpful.”', 'Participant Feedback.\nAt the end of the experiment each participant was given the chance to provide feedback and give comments. Some participants felt Prot´eg´e was more familiar and acceptable, e.g., commenting “The vertical aligned indented list is easier to perceive hierarchy structures”. Most of the participants gave positive feedback for OntoPlot, e.g., commenting “OntoPlot interface is more friendly”, “OntoPlot needs effort to learn, but makes tasks easier”, or “OntoPlot has more compact view of the ontology”. Some participants also provided more specific feedback such as “Lighter lines and darker lines are helpful for distinguishing siblings and non-siblings”, “The labels make finding associations much easier”, “Association labels are easy to read”, or “Tagging feature is nice”. One participant also commented on Prot´eg´e: “That is very difficult to find common ancestors with Prot´eg´e”.  A few participants also provided helpful feedback for further improvements  of OntoPlot, e.g., “Probably can use colour coding for the sibling lines to make them more obvious”, “The subtle arrows could be more effective if can indicate the number of pointing in and pointing out associations”, or “Probably can filter association classes further when there are many associations”.']","['https://dx.doi.org/10.1109/TVCG.2012.189', 'https://dx.doi.org/10.1109/TVCG.2019.2934557']",2,2,0.05714285714285714,0.05714285714285714,1.0
