,S_Index,Expert ID,Statement,Splitted propositions,Key_expressions
65,58,1788435936,The  plot is easy to understand.,,easy; understand; plot
66,59,1788435936,I can interpret the information in the plot.,,interpret; information;
67,60,1788435936,The plot is easy to read.,,easy; read
68,61,1788435936,The plot is cluttered.,,cluttered
69,62,1788435936,I have a hard time understanding what I am seeing here.,,hard time; understand; what I see
70,63,1788435936,The main message the plot wants to make is clear to me.,The main message the plot wants to make,main message;
71,63,1788435936,The main message the plot wants to make is clear to me.,(message) is clear to me,message; clear
72,64,1788435936,There are enough annotations to help me understand the plot.,There are enough annotations,annotations; enough
73,64,1788435936,There are enough annotations to help me understand the plot.,annotations help me understand the plot,annotations; help understand;
74,65,2097618556,The layout allows you to identify/rank communities.,,layout; identify; rank; communities
75,66,2097618556,This ordering makes selection easier.,,ordering; easier selection
76,67,2097618556,The resulting distortion does not impact your ability to differentiate the activity level of one group from another.,The resulting distortion does not impact your ability ,distortion; impact; differentiate
77,67,2097618556,The resulting distortion does not impact your ability to differentiate the activity level of one group from another.,your ability to differentiate the activity level of one group from another,differentiate; level
78,68,2097618556,The color encoding of the visualization correctly conveys the information expected by you (or that you were given).,,color encoding; conveys; information
79,69,867063270,I can (easily) explain this graph to friend.,,easily explain; 
80,70,867063270,This graph is easy to comprehend.,,easy; comprehend
81,71,867063270,It is easy to summarize the main message of this graph in a paragraph.,,summarize; main message; paragraph
82,72,1909682060,The intended messages or takeaways of this visualization are clear,,intended messages; takeaways; clear
83,73,1909682060,It does not take much effort for me to extract information from this visualization,,effort; extract; information
84,74,1909682060,"The key information in this visualization is clearly, concisely, and saliently presented",,key information; presented; clearly; saliently; consisely;
85,75,1909682060,I have enough information to interpret this chart,,information; enough; interpret
87,76,1909682060,"Inversely Scored - This visualization is cluttered, confusing, or disorienting",,cluttered; confusing; disorienting
88,77,1909682060,"I can determine, at a glance, key facts or information from this chart",,determine; at a glance; key fact; key information
89,78,1909682060,Inversely Scored - This visualization requires special expertise or skills to interpret,,require; expertise; skills; interpret
90,79,592571633,"When I look at this image, I immediately understand how to recover the data values, and am confident that I know how to extract patterns and relationships in those data","When I look at this image, I immediately understand how to recover the data values",immediately understand; how to; recover; data values
91,79,592571633,"When I look at this image, I immediately understand how to recover the data values, and am confident that I know how to extract patterns and relationships in those data","When I look at this image, I am confident that I know how to extract patterns and relationships in those data",confident; know; how to; extract; patterns; relationships
92,80,592571633,"I know what this means, and what to do with it",,know; means; do
93,81,592571633,This visualization is intuitive and I can learn from it quickly,This visualization is intuitive,intuitive;
94,81,592571633,This visualization is intuitive and I can learn from it quickly,I can learn from it quickly,learn quickly from
95,82,1163817576,(this visualization) clearly show all major patterns,,show clearly; major patterns
96,83,1163817576,(this visualization has low) [less] visual clutter,,clutter
97,84,1163817576,(this visualization has a) good balance in overview and detail,,overview; details
98,85,591791231,The present visualization provides sufficient details of the data,,details; sufficient
99,86,591791231,"The present visualization helps me answer questions, make decisions, and see patterns in data",The present visualization helps me,help;
100,86,591791231,"The present visualization helps me answer questions, make decisions, and see patterns in data",helps me answer questions,answer; questions
101,86,591791231,"The present visualization helps me answer questions, make decisions, and see patterns in data",helps me make decisions,decisions
102,86,591791231,"The present visualization helps me answer questions, make decisions, and see patterns in data",helps me see patterns in data,patterns
103,87,591791231,The present visualization is visually pleasing and easy to understand,The present visualization is visually pleasing,pleasing;
104,87,591791231,The present visualization is visually pleasing and easy to understand,The present visualization is easy to understand,easy; understand
105,88,838199650,The visual representation is easy to read,,easy; read
106,89,838199650,Relevant information can be extracted easily from the visual representation,,extract easily; information
107,90,838199650,All necessary information is identifiable in the visual representation,,necessary information; identifiable
111,94,510488677,Would you say this graphic has a clear entry point for understanding the data it presents?,Would you say this graphic has a clear entry point for understanding,clear entry point; understand
113,95,510488677,Would you say this graphic has a clear reading direction (visual hierarchy)?,,reading direction; reading direction; visual hierarchy
114,96,510488677,Would you say the shapes (visual marks) are meaningful in this graphic?,,shapes; visual marks; meaningful
115,97,510488677,Would you say the colors (visual variables) are meaningful in this graphic?,,colors; visual variables; meaningful
116,98,510488677,Would you say the presentation of information is clear in this graphic?,,presentation of information; clear
117,99,1033383115,I understand the data to  color mapping.,,understand; mapping; color
118,100,1033383115,The spatial arrangement of the visualization supports my understanding  of the data.,,spatial arrangement; support; understanding
119,101,1033383115,I can process the data elements quickly to form an overview of the result.,I can process the data elements quickly,quickly process; data elements;
120,101,1033383115,I can process the data elements quickly to form an overview of the result.,form an overview of the result.,results overview; form;
121,102,1033383115,I understand the meaning behind all of the visual components of the image.,,understand; meaning; visual components
122,103,2069127974,I understand the encoding of the data,,understand; encoding
123,104,2069127974,I can recognize main characteristics of the data,,recognize; data characteristics; main
124,105,2069127974,I find it difficult to extract concrete data values,,extract; data values; concrete; difficult
125,106,121698407,The visualisation clearly tells me what I need to know.,,clearly tells; needs to know
126,107,121698407,The visualisation summarises what I need to know in a clear and informative way.,,clearly summarize; informative; needs to know
127,108,121698407,It is easy to read what I need to know from the visualisation.,,easily read; needs to know
128,109,451138272,It is easy to see the main data trend in this visualization.,,easily see; data trend
129,110,451138272,It is easy to identify relevant outliers in this visualization.,,easily identify; relevant; outliers
130,111,451138272,"It is easy to answer question ""Which of the <xxx> is <yyy>iest?"", given this visualization. ",,easily; answer; question
131,112,276369984,Can you comprehend the information from the shown visualization?,,comprehend; information
132,113,276369984,"Can you read the caption, legend ad relate those while extracting the insight from the shown visualization?","Can you read the caption, legend and relate those ",read; relate; caption; legend
133,113,276369984,"Can you read the caption, legend ad relate those while extracting the insight from the shown visualization?",while extracting the insight from the shown visualization?,extract; insight
134,114,276369984,Can you iterate the  extracted insight from the shown visualization in one sentence and timely manner?,,iterate; timely; one sentence; insight
135,115,276369984,You can easily describe what information you learnt from the shown visualization.,,easily describe; information; learned
136,116,1647463245,I understand the message the visualization communicates.,,understand; message; communicated
137,117,1647463245,It is easy to find relevant patterns in the data.,,find easily; patterns; relevant
138,118,1647463245,I could use this visualization to communicate patterns in the data to others.,,communicate; patterns; others
139,119,1647463245,I can infer relevant relationships in the data from the visualization.,,infer; relevant relationships
140,120,1647463245,The visualization presents the data clearly.,,present clearly
141,121,1658859505,The visualization is readable,,readable
142,122,1658859505,The visualization is easy to understand,,easy; understand
143,123,1658859505,I understand what the visualization wants to convey,,understand; conveys
144,124,1658859505,The visualization makes it easy to understand the data,,make easy; understand
145,125,1527407916,"I can easily interpret what the visual items (lines, colors, shapes, etc.) represent",,interpret; represent; visual items; lines; colors; shapes
146,126,1527407916,I can easily interpret the overall meaning or message of the visualization,,interpret; meaning; message; overall
147,127,1527407916,I find the visualization confusing to understand,,confusing; understand
148,128,1527407916,I know exactly what the visualization is trying to communicate,,know exactly; communicate
149,129,942263669,I can easily understand how the underlying data is encoded in this graph.,,easily understand; how; encoded data
150,130,942263669,There are some parts of the visualization that are difficult to interpret.,,some parts; difficult; interpret
151,131,942263669,I can think of things I would want to change about how the data is visually represented in this graph.,,data; visually represented
