"Somewhat relevant:
59","To keep:
34",DOI,Title,Year,Term found from search script,Type of visualization in the study,Type of likert scale used in study,Likert terms found,Likert term context (how researchers refer to the items in the publication),Terms to keep for our scale,whole questionnaire (if available)
True,True,https://dx.doi.org/10.1109/TVCG.2015.2467035,SchemeLens: A Content-Aware Vector-Based Fisheye Technique for Navigating Large Systems Diagrams,2015,readab; legib; likert;,diagrams;,"1 to 5 (1 = Totally Disagree, 5 = Totally Agree)",like; intuitive; sickness / fatigue; easy to read (text); easy to read (symbols); easy to see (link); good overview (mind); easy (navigation); lost,"Subjective preferences per technique
Readability = easy to read + easy to see",easy to read text; easy to read symbols; easy to see link between components; good overview of diagram in mind,"I liked the technique
I think the technique is intuitive
I felt sickness or fatigue
The text was easy to read
Symbols were easy to read
It was easy to see the link between two closed components
It was easy to see the link between two distant components
I had a good overview of the whole diagram in my mind
The navigation was easy
I flet lost sometimes"
True,True,https://dx.doi.org/10.1109/TVCG.2015.2467872,Orientation-Enhanced Parallel Coordinate Plots,2015,readab; likert; ,parallel plots;,5 points,"easy (use); easy (understand); useful; suitable (identification for patterns, outliers, noise-obstructed data structures)","(The technique) enables discerning individual trends and patterns, while it may even reveal patterns that are potentially obscured in traditional PCPs.

Grade 2 techniques and 5 brushing methods", easy to understand;,
True,True,https://dx.doi.org/10.1109/MCG.2016.100,Using Gap Charts to Visualize the Temporal Evolution of Ranks and Scores,2016,legib; likert; ,line charts;,"Exp#1 (preference order)
1 to 3 Likert-like scales, with the possibility of giving equal preferences.

Exp#2
1 to 5 (1 = very easy, 3 = neutral, 5 = very difficult)
1 to 5 (1 = not confident at all, 3 = neutral, 5 = very confident)
1 to 5 (1 = not suitable at all, 3 = neutral, 5 = very suitable)","Exp#1: preference (legibility); preference (aesthetic)

Exp#2: difficulty (task); confidence (response); suitability (chart)","Exp#1 (preference order):
- appealing (aesthetics)
- legibility: we instructed participants to focus on how easy or difficult each rendering variation made it to identify (+ informations)

Exp#2
participants were asked to evaluate the difficulty of the task, their confidence in their responses, and the suitability of the class of charts for the task",easy / difficult to identify,
True,True,https://dx.doi.org/10.1109/TVCG.2016.2642109,Evaluating Cartogram Effectiveness,2016,readab; likert;,cartograms;,"Initial rating
1 to 5 (1 = very poor, 2 = poor, 3 = average, 4 = good, 5 = excellent)

Post exp
1 to 5 for pairs","Initial rating:
poor - excellent;

Post exp pairs
helpful - hindering; entertaining - boring; interested to use later - not; well organized - poorly; elegant - drab; innovative - conventional; clearly (showing) - poorly; easy (understand) - difficult;","We also asked the participants for an initial rating of the four cartogram types.

At the end of the experiment, the participants were asked to rate the different cartogram types according to categories such as the helpfulness of the visualization, readability, and appearance, with a rating scale between pairs of polar opposite words and phrases. We considered the mode (most frequent response) and the mean (average response); see Fig. 5.",poor / excellent readability,
True,True,https://dx.doi.org/10.1109/TVCG.2017.2745941,The Hologram in My Hand: How Effective is Interactive Exploration of 3D Visualizations in Immersive Tangible Augmented Reality?,2017,legib; likert; ,scatter plots; 3D scatter plots;,"Likert 9 points (""0-9"" ??)",difficulty (perception); difficulty (interaction); fatigue,Subjective ratings/preferences and perceived performances as indicated by the participants (0-9 Likert scale),feature easy to perceive;,
True,True,https://dx.doi.org/10.1109/TVCG.2017.2744118,Visualizing Nonlinear Narratives with Story Curves,2017,readab; likert; ,"flows, paths;","1 to 5 (1 = Strongly Disagree, 5 = Strongly Agree)",able to read (visualization); able to apply (visualization); difficulty (task),"We were interested in assessing the readability and learnability of story curves. We conducted an online user study to see whether people with no expertise in visualization and narrative theory can learn to read story curves to perform low-level pattern reading tasks.

In a follow-up survey (...) participants indicated that they are able to read story curves (...) and to apply story curves to represent nonlinear narratives in movies they had watched or will watch in the future

The results of our user study indicate that story curves are easily graspable.",able to read,"Is it easy to read and follow the logic?
Does it help you understand this visual design?
Does it look pretty and pleasant?
Does it attract your interest?"
True,True,https://dx.doi.org/10.1109/TVCG.2018.2865192,Origin-Destination Flow Maps in Immersive Environments,2018,readab; likert; ,flows; maps; paths;,"preference ranking
(cf same authors https://dx.doi.org/10.1109/TVCG.2020.3004137)",visual design; ease (use),"Visual Design Ranking = ""visual design""
Readability Ranking = ""ease of use for the task""",good visual design; ease of use,
True,True,https://dx.doi.org/10.1109/TVCG.2018.2865232,Narvis: Authoring Narrative Slideshows for Introducing Data Visualization Designs,2018,readab; likert;,slides with multiple types of vis,1 to 5 (1 = Very poor to 5 = Excellent),"easy (read, follow); help (understand); pretty, pleasant (look); attract (interest)","a questionnaire to rate the quality of the slideshow regarding readability (easy), utility (help), aesthetics (pretty, pleasant), attractiveness (attract)",easy to read; easy to follow,"Q1: This graph has good aesthetic appearance.
Q2: This graph has good readability."
True,True,https://dx.doi.org/10.1109/TVCG.2018.2865049,MotionRugs: Visualizing Collective Trends in Space and Time,2018,readab; legib; likert; ,vector glyphs;,5 points (very easy to very hard),interpret (pattern),"Before collecting the feedback, we first introduced the technique and educated the biologists on how to read and interpret a MotionRug.

We collected the feedback on a basic questionnaire asked for each of the patterns how easy the experts judge the interpretation of the presented pattern",easy / hard to interpret,"Anatomical correspondence:
- Use of patient anatomy (???)
- Data type recognizability (easy to identify)
- Assignment of plot to structure (effective / facilitate / intuitive ???)

Comparability:
- Identification of missing data (directly)
- Plots are comparable at a glance (=at a glance)
- Spacing adjustment is helpful (???)
- Colormap shows value ranges (helpful (to find))
- Left-right (facets) comparability (useful)
- Simplification enables overview: faster 

Temporal aspects:
- Selection of desired timestep (quickly)
- Movement animation (effective)
- Quantitative readouts (???)
- Point in time unambiguous (obvious to understand / unambiguous)

Directional glyphs:
- Orientation readable / determine the orientation
- Orthogonality of force visible / assess direction of acting forces
- Distribution of forces over time (???)"
True,True,https://dx.doi.org/10.1109/TVCG.2018.2835485,A Semantic-Based Method for Visualizing Large Image Collections,2018,readab; likert;,point-based; text-based;,"1 to 7 (1 = strongly disagree, 7 = strongly agree)",easy (use); easy (system use); reasonable (viz or feature); useful (viz or feature); intuitive (visual design); aesthetic (visual design),!! Very unclear wether Q3 to Q8 are about viz or interactive features,intuitive;,"Understandability / usefulness (Figure 13):
I understand this view
This view is useful

Readability (Figure 14):
I see clearly... + informative item

Interaction features (Figure 15):
I understand this view
I think this view is useful
Highlighting is useful to recognize... + informative item
Transmission Pathway is suitable to visualize... + informative item"
True,True,https://dx.doi.org/10.1109/TVCG.2019.2941208,MineTime Insight: Visualizing Meeting Habits to Promote Informed Scheduling Decisions,2019,readab; likert;,calendar; mutliple charts in analytics view;,"1 to 7 (1 = strongly disagree, 7 - strongly agree)",easy (understand); help (task); useful (tool); pleasant (aesthetics); fast (task); ,"readability = Q1: easy to understand
utility = Q2, Q3, Q4
visual appearance / aesthetic appeal = Q5

!!!Q6-Q8 not assigned to categories",easy to understand; fast to find the information,
True,True,https://dx.doi.org/10.1109/TVCG.2020.3030404,SineStream: Improving the Readability of Streamgraphs by Minimizing Sine Illusion Effects,2020,readab; legib; likert; ,steamgraphs;,"7 points (Totally Disagree, Neutral, Totally Agree)",good aesthetic appearance (visualization); good readability (visualization);,score the three streamgraphs based on their aesthetic preference and perceived readability,good readability,
True,True,https://dx.doi.org/10.1109/TVCG.2020.3030388,Visualization of Human Spine Biomechanics for Spinal Surgery,2020,readab; likert;,surface-based; colormaps; glyph-based; volumes; continuous colors;,"5 points bipolar (−−, −, ◦, +, ++)",use (visual); helpful (recognize); ? effective / facilitate / intuitive (assignment)?; at a glance (compare); helpful (to find); useful (for assessing); directly (identify); effective (animation); quickly (select); obvious / unambiguous (understand); visible / assessable (direction); determine / read (orientation); faster (overview),"(...) our representation of patient-specific vertebrae to be effective in facilitating intuitive assignments of data to structures
(...) most found the direction of acting forces on a spinal disc to be assessable
(...) stated that they could determine the orientation of load distribution across several discs
(...) We also observed that experts usually interpreted the direction correctly, however, many required 3D scene interaction to do so.",readable; feature visible; recognizability; enable overview; unambiguous (obvious to understand); at a glance; able to determine; assessable; interpret,
True,True,https://dx.doi.org/10.1109/TVCG.2020.3030437,In Search of Patient Zero: Visual Analytics of Pathogen Transmission Pathways in Hospitals,2020,readab; likert;,storyline; paths; timelines; node-links,"1 to 5, (1 = not at all, 5 = fully agree)",underestand (visualization); useful (visualization); see clearly (information in visualization); useful to recognize (feature of the visualization); suitable to visualize (information in visualization);,The online questionnaire showed the views from the use case and asked participants to read these visualizations and answer the usability and understandability questions as presented in Fig. 13–15.,see clearly;,"Q1 Our system is easy to learn
Q2 Our system is easy to use
Q3 The overview of the image collection is reasonable
Q4 The overview of the image is useful
Q5 The local structures of the images are reasonable
Q6 The local structures of the images are helpful.
Q7 The result of the semantic queries is reasonable.
Q8 The result of the semantic queries is useful.
Q9 The visual design is intuitive
Q10 The visual design is aesthetic."
True,True,https://dx.doi.org/10.1109/TVCG.2020.3030358,Once Upon A Time In Visualization: Understanding the Use of Textual Narratives for Causality,2020,readab; legib; likert; ,node-links; color-coded text;,"1 to 5 (1 = 
extremely easy, 5 = extremely difficult)

1 to 5 (1 = 
extremely usefull, 5 = not at all useful)",easy to understand (vizualisation); easy to understand (text); useful (text),"We also asked our participants to rate the ease of-understanding of both graphs, and narratives (when applicable). After each DL. I

In the conditions where TN was ON, we also asked participants to rate the usefulness of the narratives",easy to understand ,"Q1. It was easy to understand the presented information
Q2. The tool could help me in analyzing past scheduling decisions retrospectively
Q3. The tool could help me make sure meetings are scheduled more regularly
Q4. Overall, MineTime Insight is a useful tool
Q5. Overall, MineTime Insight is aesthetically pleasant
Q6. It was fast to find the information requested in the practical tasks
Q7. I would likely use this tool, if it was integrated with my current calendar application
Q8. I would likely use this tool, if it required to install a new dedicated application"
True,True,https://dx.doi.org/10.1109/TVCG.2020.3004137,"Tilt Map: Interactive Transitions Between Choropleth Map, Prism Map and Bar Chart in Immersive Environments",2020,readab; likert;,maps; VR;,"preference ranking
(cf same authors https://dx.doi.org/10.1109/TVCG.2018.2865192)",visual design; ease (use),"Visual Design Ranking = ""visual design""
Readability Ranking = ""ease of use for the task""",ease of use,
True,True,https://dx.doi.org/10.1109/TVCG.2021.3068337,Declutter and Focus: Empirically Evaluating Design Guidelines for Effective Data Communication,2021,legib; likert;,bar charts; line charts;,1 to 5 for pairs,visually appealing; hideous - beautiful; clear; confused - sense; unprofessional - professional; untrustworthy - trustworthy;,"We next presented all three visualization designs of each graph topic simultaneously to each participant, and asked them to rate the three designs.
- Aesthetics: rated from one (“very hideous”) to five (“very beautiful”).
- Clarity: rated from one (“I am utterly confused”) to five (“makes perfect sense”).
- Professionalism: rated from one (“very unprofessional”) to five (“very professional”).
- Trustworthiness: rated from one (“very untrustworthy”) to five (“very trustworthy”).",I am confused - it makes sense;,"Aesthetics: “Overall, is this a visually appealing image?”, rated from one (“very hideous”) to five (“very beautiful”).

Clarity: “Is it clear what information is being presented and why?”, rated from one (“I am utterly confused”) to five (“makes perfect sense”).

Professionalism: “Does this graph look like something you would see in a professional environment?”, rated from one (“very unprofessional”) to five (“very professional”).

Trustworthiness: “Based on the presentation, how trustworthy is the person who made this graph?”, rated from one (“very untrustworthy”) to five (“very trustworthy”)."
True,True,https://dx.doi.org/10.1109/TVCG.2021.3085327,InfoColorizer: Interactive Recommendation of Color Palettes for Infographics,2021,readab; likert;,infographics;,"1 to 7 (1 = low readability, 7 = high readability)",please score by element readability,"For each problem set, we asked participants to provide two 7-point scores (the higher is better), on color aesthetics and element readability.",readability;,
True,True,https://dx.doi.org/10.1109/TVCG.2021.3114789,E-ffective: A Visual Analytic System for Exploring the Emotion and Effectiveness of Inspirational Speeches,2021,readab; likert;,dashboard with multiple vis; text-based; line-based; dot-based; maps; ...,1 to 7,easy (visualization for understanding); useful (visualization for understanding); easy (system for task); useful (system for task); ,"In our usability test, we wanted to evaluate how useful and easy to use our system and visualization methods are.

Following the completion of both the user tasks and free analysis, user experiences of participants were scored for usefulness and ease of use in a user experience questionnaire. The questionnaire evaluates both visualization design and system design.",easy to use for understanding,"Visualizations:
Using E-factor to understand the distribution of data was...
Using E-spiral to understand the change of emotion in a speech was...
Using E-script to understand the emotion in speech scripts was...
Using E-similarity to understand individual easy speeches among effective factors was....
Using E-distribution to understand the effectiveness of factors between levels was...

System:
Using temporal and geographical information to understand the distribution of data was...
Comparing different speeches and similar speeches was...
Exploring and understanding speech videos guided by emotional cues was...
Understanding the effectiveness estimation and advice was...
Exploring the effectiveness of easy speech factors using the system was..."
True,True,https://dx.doi.org/10.1109/TVCG.2022.3209354,HiTailor: Interactive Transformation and Visualization for Hierarchical Tabular Data,2022,readab; likert; ,dashboard with multiple charts; bar graphs; line charts; pie charts; dot based; areas,"1 to 5 (1 = Strongly disagree, 2 = Disagree, 3 = Undecided,  4 = Agree, 5 = Strongly agree)",easy (learn); easy (system features); intuitive (interactions); helpful (system features); satisfactory (visualization); facilitate understanding (visualization or tool ?),"At the end of the experiment, we asked the participants to rate HiTailor from different aspects using a five-point Likert scale.

Q4, Q6, Q7 might be related to visualizations readability",facilitate understanding;,"Q1: Easy to Learn.
Q2: Easy to use.
Q3: Interactions intuitive.
Q4: Transformations helpful.
Q5: Recommendation helpful.
Q6: Visualization satisfactory.
Q7: Facilitate data understanding."
True,True,https://dx.doi.org/10.1109/TVCG.2022.3209475,Effects of View Layout on Situated Analytics for Multiple-View Representations in Immersive Visualization,2022,readab; likert; ,bar charts; line charts; VR;,1 to 7,usability (layout); utility (layout); workload (user); confidence (answer); and satisfaction (system for task),"We only evaluated the effectiveness of the proposed method in positioning six views at maximum, yet view occlusion happened and user preference was reduced. We have provided user interactions including view arrangement to mitigate 
the issue. More interactions can be incorporated to further improve view readability.",easy to learn; easy to understand,"Usability: Easy to learn and understand
Utility: Useful for spatial situatedness
Utility: Useful for multiple-view analytics
Workload: Do not need much physical activity
Workload: Do not need much mental activity
Confidence: Have confidence in answers
Satisfaction: Be satisfied with analysis"
True,True,https://dx.doi.org/10.1109/TVCG.2021.3092680,Designing With Pictographs: Envision Topics Without Sacrificing Understanding,2022,readab; likert; deciph;,glyph based; surface based; bar charts,1 to 5 preference for pairs,quicker and easier to read (visualization); visually appealing (visualization); clearer and easier to understand (visualization); easier to imagine (data); cluttered (visualization); complex (visualization); important (topic); familiar (topic),"For each metric, participants indicated on a 5-point Likert scale which of the two versions of the chart best satisfied the prompt.",quick to read; easy to read,"Readability: Which of these charts is quicker and easier to read?
Visual Appeal Which of these charts is more visually appealing?
Understandability Which of these charts is clearer and easier to understand?
Envisioning Which of these charts makes the data easier to imagine?
Clutter Which of these charts is more visually cluttered?
Complexity Which of these charts is more complex?
Importance Which of these charts makes its topic seem more important?
Familiarity How familiar are you with the topic of this chart?"
True,True,https://dx.doi.org/10.1109/TVCG.2022.3144975,Visualizing the Scripts of Data Wrangling with SOMNUS,2022,readab; likert; ,tables; text; path; node-link;,1 to 7,helpful (visualization); interpretable (visualization),"After the main experiment for each technique, participants were asked to rate the usefulness  and intuitiveness of the technique.

After the study, a semi-structured interview was conducted to collect their feedbacks.",interpretable;,
True,True,https://dx.doi.org/10.1109/TVCG.2022.3163727,SD 2 : Slicing and Dicing Scholarly Data for Interactive Evaluation of Academic Performance,2022,readab; likert;,bar charts;,"1 to 5

ranking (order) - not for likert items

A vs B",clear to understand (visualization); easy to read (visualization);,"Pivotal study
Participants rated different factors on a five-point Likert scale in two aspects: clarity (clear to understand) and readability (easy to read). In addition, they were asked to list the three most effective design choices in order.

After performing the tasks, they were asked to rate the two choices in terms of clarity and readability. To avoid bias, the statements were provided in two opposite manner: the first stated in the form that “A is better than B” and the second stated in the form that “B is better than A”.",clear to understand; easy to read;,
True,False,https://dx.doi.org/10.1109/TVCG.2011.234,Stereoscopic Highlighting: 2D Graph Visualization on Stereo Displays,2011,legib; likert; ,node-links,1 to 5,helpful for the task (visualization feature); performed faster (user); performed more accurately (user);,rate visual cues,,
True,False,https://dx.doi.org/10.1109/TVCG.2013.155,Evaluation of Filesystem Provenance Visualization Tools,2013,readab; likert; deciph;,node-links;,7 points,easy (use); confident (user); easily able,"3 questions gauged subjective ease of use, self-efficacy, and subjective assessment of the tool’s effectiveness for the task: “How easy was it to use the tool?”, “How confident are you in your answers(s)?”, and “How easily were you able to accomplish this task?”.",,
True,False,https://dx.doi.org/10.1109/TVCG.2013.76,KelpFusion: A Hybrid Set Visualization Technique,2013,readab; legib; likert; ,maps; areas;,1 to 5,confident (answer); cluttered; pleasing (aesthetically); strong (sens of grouping?),"we asked how confident they were answering each type of question, how cluttered and how aesthetically pleasing the visualization was, and  finally whether the visualization provided a strong sense of grouping",,
True,False,https://dx.doi.org/10.1109/TVCG.2014.2346250,DimpVis: Exploring Time-varying Information Visualizations by Direct Manipulation,2014,legib; likert;,scatter plots;,1 to 5 (1 = Strongly Disagree to 5 = Strongly Agree),easy (system use); natural (system use); expected (system behavior); fast (questions); easy (questions); satisfied; prefer; enjoy,"rate each technique subjectively
!!! ""technique"" here refers to an interaction technique",,
True,False,https://dx.doi.org/https://dx.doi.org/10.1109/TVCG.2014.2346426,The Influence of Contour on Similarity Perception of Star Glyphs,2014,readab; legib; likert; ,radar charts;,"1 to 7 
(2 = easy to use, 5 = slightly difficult to use, 6 = difficult to use, 7 = very difficult to use)",easy / difficult (use),"6.3 Hypotheses - (...) The additional anchor points help to better read and compare line distances. (...) The viewer has to invest more mental effort to process the additional visual information.

questionnaire for subjective feedback on aesthetics of the designs and strategies used to answer the questions",,
True,False,https://dx.doi.org/10.1109/TVCG.2014.2346371,Design and Evaluation of Interactive Proofreading Tools for Connectomics,2014,readab; likert; deciph;,spatial; (connectome),"1 to 7 (1 = Fully Disagree, 7 = Fully Agree)",easy (use); pleasing;,,,
True,False,https://dx.doi.org/10.1109/TVCG.2014.2322594,Visual Adjacency Lists for Dynamic Graphs,2014,readab; likert; ,node-links;,"1 to 5 (1 = good, 5 = bad).",suitable (vizualisation for task),"After completing all four tasks, the participants filled out a further questionnaire, in which they rated the suitability of the different techniques for the different tasks",,
True,False,https://dx.doi.org/10.1109/TVCG.2014.2329308,The Impact of Interactivity on Comprehending 2D and 3D Visualizations of Movement Data,2014,legib; likert; ,maps; motion paths;,"1 to 5 (1 = Not preferred/Very difficult, 5 = Preferred/Very
easy)",preference (tool); easy (tool),"In addition to tracking performance measures, we also collected subjects’ opinions regarding each visualization technique at the end of the experiment. Participants replied to eight statements.

!!! in here tool = vizualisation + interaction",,
True,False,https://dx.doi.org/10.1109/TVCG.2016.2520921,"A Study of Layout, Rendering, and Interaction Methods for Immersive Graph Visualization",2016,legib; likert; ,node-links;,"1 to 7 (1 = very difficult, 7 = very easy)

1 to 7 (1 = no confidence, 7 = complete confidence)",confidence; ease (use);,"confidence ratings, ease-of-use ratings",,
True,False,https://dx.doi.org/10.1109/TVCG.2016.2535234,Embedding Spatio-Temporal Information into Maps by Route-Zooming,2016,readab; legib; likert; ,maps; multiple charts;,"1 to 5 (5 = Strongly agree, 4 = Agree, 3 = Neutral,  2 = Disagree, 1 = Strongly disagree
)",performance;,"Rate the performance when experiencing Embedded View or Linked View with respect to two questions:  

Q1: can Embedded View help improve the performance of finding a specific traffic flow in different roads

Q2: can Linked View help improve the performance of finding a specific traffic flow in different roads",,
True,False,https://dx.doi.org/10.1109/TVCG.2017.2764459,StreamExplorer: A Multi-Stage System for Visually Exploring Events in Social Streams,2017,readab; likert;,multiple; continuous color; node-links; pie charts;,"1 to 7 (1 = strongly disagree, 7 = strongly agree)",satisfied (system); easy (learn); easy (system use); useful (visualization); intuitive (visualization),"For each question, users were asked to rate their satisfaction regarding three categories, namely, tracking,  exploration, and comparison, which corresponded to the design rationale.",,
True,False,https://dx.doi.org/10.1109/TVCG.2018.2889081,Multimodal Analysis of Video Collections: Visual Exploration of Presentation Techniques in TED Talks,2018,readab; legib; likert;,multiple; glyph-based; flows; matrix; timeline;,"1 to 7 (1 = not at all, 2 = strongly disagree, 3 = disagree, 4 = neutral, 5 = agree, 6 = strongly agree, 7 = absolutely)",usable (system); useful (visualization); useful (viz element); useful (system feature / viz element),"The questionnaires were designed to evaluate the usefulness of our system and gather explicit feedback on the visual design (Fig. 5). They were created under the guidance suggested by Rossi et al. [42] to ensure reasonableness, appropriateness, feasibility, and stakeholder engagement. We adopted a 7-likert scale and calculated the mean score and standard deviation.",,
True,False,https://dx.doi.org/https://dx.doi.org/10.1109/TVCG.2019.2934803,"There Is No Spoon: Evaluating Performance, Space Use, and Presence with Expert Domain Users in Immersive Analytics",2019,legib; likert;,scatter plots; parallel plots; 3D; VR,"4 points (No, Not really, Kind of, Yes)",?????,"We predicted that participants would suffer from reduced text legibility (A3.4). However, the reported Likert scores for the ability to examine closely and obtain details from objects in the environment was high (Figure 8), which undermines this prediction.",,
True,False,https://dx.doi.org/10.1109/TVCG.2019.2934398,DataShot: Automatic Generation of Fact Sheets from Tabular Data,2019,readab; likert;,fact sheets;,"1 to 5 (1 = strongly disagree, 5 = strongly agree)",insightful; comprehensive; effective; easy (understand); aesthetic; expressive; useful; usability,"Goal is to asses wether:
- DataShot can assist users in finding insightful facts;
- the visualisations generated can aid users in understanding the data facts;
- the final presentation of DataShot can help users communicate their findings

Content: Insightful, Comprehensive, Effective
Visual: Easy to understand, Aesthetic, Expressive
System: Useful, Usability",,
True,False,https://dx.doi.org/10.1109/TVCG.2020.3030442,SEQUENCE BRAIDING: Visual Overviews of Temporal Event Sequences and Attributes,2020,readab; likert; ,flows; node-links;,"probably 5 points
+ preference ranking",confident (user); easy (task); useful to display (design),"Ease of use for understanding trends and patterns = How easy were the tasks? 
useful for displaying trends = Which design is the most useful to display trends?",,
