Users comments,Keywords,Object,DOI
"Expressive Visual Design Improve Data Comprehension
Participants also provided other positive comments on DataShot’s visual design. They all agreed the visualization presented in DataShot is easy to understand. Participants commented regarding the visual design that “...(DataShot) provides meaningful annotations for me to understand the data better” (P1, male, 22), and “the short description (of each fact sheet elements) helps me dive into the content of the data” (P3, male, 22). At the same time, participants commented on the expressiveness of DataShot, “The visual design is quite rich...I have plenty of choices to show the data from different aspects” (P9, female, 29). Moreover, participants also commented on the attractiveness of the fact sheet design. “I got a rough idea after I read the data, but DataShot presents the data in a more thought-provoking and eye-catching way” (P9, female, 29). One participant (P7, male, 22) noted, “I want to copy the charts into my presentation slides”. However, participants also pointed out that such an auto-generated process could diminish the diversity and decrease the creativity of the final output, which could hamper the expressiveness.",easy; understand; meaningful; present (?);,fact sheets;,https://dx.doi.org/10.1109/TVCG.2019.2934784
"Participant Feedback.
At the end of the experiment each participant was given the chance to provide feedback and give comments. Some participants felt Prot´eg´e was more familiar and acceptable, e.g., commenting “The vertical aligned indented list is easier to perceive hierarchy structures”. Most of the participants gave positive feedback for OntoPlot, e.g., commenting “OntoPlot interface is more friendly”, “OntoPlot needs effort to learn, but makes tasks easier”, or “OntoPlot has more compact view of the ontology”. Some participants also provided more specific feedback such as “Lighter lines and darker lines are helpful for distinguishing siblings and non-siblings”, “The labels make finding associations much easier”, “Association labels are easy to read”, or “Tagging feature is nice”. One participant also commented on Prot´eg´e: “That is very difficult to find common ancestors with Prot´eg´e”.  A few participants also provided helpful feedback for further improvements  of OntoPlot, e.g., “Probably can use colour coding for the sibling lines to make them more obvious”, “The subtle arrows could be more effective if can indicate the number of pointing in and pointing out associations”, or “Probably can filter association classes further when there are many associations”.",easy; perceive; helpful; distinguish; coding; obvious;  effective,matrices;,https://dx.doi.org/10.1109/TVCG.2019.2934557
"They agreed that the orientation plot (cf. Fig. 6) is suitable to discern valves with high and low directional variance (S(++)=2,S(+)=4). Furthermore, they could interpret motion of the whole valve inside the heart using the position path (S(++) = 2,S(+) = 4) and all experts stated they could understand the orientation of the path due to the linkage to the 3D+t view perspective.",discern; interpret; understand;,dot plots; motion paths; surface-based;,https://dx.doi.org/10.1109/TVCG.2019.2934337
"However, due to the lack of educational and methodological explanations, they were unclear about certain descriptions (“I have [had] a hard time trying to figure out the meanings of the acronyms [metrics] in parallel coordinates plot and scatter plot [...]”); two participants disagreed that the document is self-explanatory due to lack of educational and methodological explanations (reaction: we consistently added educational and methodological explanations).",unclear; hard; meaning; ,line-based; bar charts;,https://dx.doi.org/10.1109/TVCG.2019.2934669
"Especially the physicians pointed out that the clear connection between data and anatomy felt more intuitive to them than in the old representation.

We also observed that experts usually interpreted the direction correctly, however, many required 3D scene interaction to do so. One physician mentioned that it would be advantageous if shear forces could be spotted more easily.",clear; intuitive; interpret; correctly; spot; easily,multiple type of vis; surface-based; colormaps; glyph-based; volumes; continuous colors;,https://dx.doi.org/10.1109/TVCG.2020.3030388
"Reviewing open-ended feedback showed us that difficulty under standing was attributed to unfamiliarity with a visualization: “It was somewhat challenging because I’m not familiar with this type of graph. Additionally, the abstract nature of our graph systems, and also novelty effects influenced difficulty. P111 says, “Their abstract nature was the most difficult to understand. Observing this with a real life example would make it easier to visualize and conceptualize.” Finally, our participants indicated that they used both visualization and narratives for causal inference: “I think having both the summary and the color coded chart makes it much easier to understand [...].”",difficult; understand; easy; visualize; conceptualize;,node-links; color-coded text;,https://dx.doi.org/10.1109/TVCG.2020.3030358
"participants commented that the linear design helped them browsing elements (H4). On the contrary, 7 out of 13 commented on the fact that the lines were “wiggly and visually distracting when counting the elements”, “intersecting in a confusing way” and “hard to tell apart”. A few participants also commented that they would get lost following the lines and had to start counting again from the beginning.

participants commented that “the overlapping color blobs made it near impossible to figure out how many were overlapping”, “creating visual chaos” and a few participants commented that they “could not find a thing in there”.",distracting; confusing; hard; lost; chaos;,maps; areas;,https://dx.doi.org/10.1109/TVCG.2013.76
"Several participants felt that it was “easier” to answer the questions using the 3D technique. The 3D technique was perceived as “very cool” and “much better” for getting all the required information for the questions.

Some perceived the 3D style as “busy” and “messy” at first but mentioned that they were “more comfortable” with it and were able to “find their way around” after using it for a while during the practice rounds.",easier; busy; messy; comfortable,maps; motion paths;,https://dx.doi.org/10.1109/TVCG.2014.2329308
"“It was much less cluttered in C3”,
“I can feel richer depth perception with C3”,
“C1 and C2 look flat”,
“C3 looks like coral, C2 looks like broken egg shells”,
“C3 looks more neat”.",cluttered; richer; neat;,node-links;,https://dx.doi.org/10.1109/TVCG.2014.2337337
"Visual Design.

Most of the users agreed that our visual design could intuitively convey the semantic information. Given that we use the scatterplot as our visualization, they found it easy for them to recognize the images and their similarities. However, one user indicated that the estimation of image similarities was not so easy, as the visualization can be explored in different scales, which sometimes hampered his estimation of the distances. Another user mentioned that it would be more useful if the images can be visualized temporally for the task of image management. In addition, three users made comments about the color. One of them thought the color is appropriate, which provided her an impression of the starry sky. Two of them thought the color is a little confusing as it did not well distinguish between different semantic clusters. Due to the limitation of our clustering method, however, some semantically similar images may be assigned to different groups. Moreover, one user thought that it was not efficient to show all the text in the same size. He hoped that important words could be highlighted by a larger text to attract his attention.",intuitively; easy; hamper; useful; appropriate; confusing; distinguish; efficient; highlight; attract attention;,multiple types; point-based; text-based;,https://dx.doi.org/10.1109/TVCG.2018.2835485
"Eiffel facilitates the analysis of static influence graphs in a more user friendlymanner (subjective scores). Users reported that Eiffelwas less complex and more visually pleasing.",complex;,node-links; paths;,https://dx.doi.org/10.1109/TVCG.2019.2906900
"The majority of the participants pre- ferred C the most because of its ""simple shape."" They found the shape of glyph A and B to be ""complex"" as the superquadric glyphs took a concave shape for the indefinite tensors. Some participants commented that they did not find it necessary to highlight indefinite tensors through this change in shape. Many participants said because of the ""simple shape"" of C it was easier to learn C compared to A and B. Few users found that the ""pointy feature"" of glyph A and B for indefinite tensors helped in better estimating the principal directions compared to the ""convex or rounded shape"" of C. Two users suggested that having a glyph with a similar ""pointy features"" of extended SQ glyph along all the principal directions will be better in estimating all the principal directions than the ""convex shape"" of glyph C.",simple; complex;,glyphs;,https://dx.doi.org/10.1109/TVCG.2020.2968911
"Another participant commented, “Left graph uses too many colors which is distracting and messy,” which was coded as “disliked color, too many colors, disliked aesthetics, cluttered.”

Many participants claimed that the cluttered graphs were “disorganized” and “visually unappealing.” ",distracting; messy; cluttered; disorganized; unappealing,bar charts; ligne charts;,https://dx.doi.org/10.1109/TVCG.2021.3068337
"“I feel like this is providing useful insight and... the sentiment easily got me to the areas in the video where the user was confused.”-P5-1 Another reason was that “the icons and sentiments are very easy to understand.”-P4-1

“I actually almost paid all of my attention on the scrolling speed. Compared to the icons, I definitely prefer to look at the visualizations.”-P1-2 “I looked at the peak of the waves of the scrolling speed just to double-check what was happening.”-P6-1 Also, P3-1 thought the scrolling speed was useful, but would like to see numbers instead of a relative scale from “slow” to “fast.” 

However, these two features were relatively less used. One reason was that “they are too far away from the video so while I’m watching the video I couldn’t see that information.”-P2-2 In addition, P4-2 mentioned “I didn’t really look at the scrolling speed, because I think this is not super relevant to this task.”

Interestingly, participants also used a combination of different features to better locate segments that contained usability problems. “In the same column, if there were two or more icons that show abnormalities, I paid more attention to it because it’s more obvious.”-P1-2",useful; insight; easily; understand; prefer; useful; see; relevant; show; attention; obvious,multiple; glyph based; timeline; line-based; ,https://dx.doi.org/10.1109/TVCG.2021.3114822
"The qualitative feedback showed that people appreciated these animations because they enriched the story content (e.g., “it works very well with the content of the graph and the story behind it.”), enticed reading (e.g., “caught my attention and made me want to read more.”), and were well designed (e.g., “I think these strike the best balance of being readable and aesthetically appealing.”)",balance;,animation of charts;,https://dx.doi.org/10.1109/TVCG.2021.3114775
"TAM also received two neutral assessments, justified by the participants who affirmed that “to completely understand TAM it is necessary to have a better knowledge of the network”, and that “TAM needs better interaction techniques, such as the selection of a node in the nodelink diagram and its automatic selection in the TAM layout”. We implemented this feature after the user study. Besides those neutral and negative assessments, participants considered that “the integration of all layouts facilitated the analysis and each brought a different aspect of the network being analyzed”. Another participant even complemented this idea by explaining that “the Taxonomy Matrix allows a quick interpretation of communities, the node-link diagram is very useful to analyze the cases separately, and TAM adds the missing temporal information”.",understand; interpretation;,multiple; node-links; matrix; dot based,https://dx.doi.org/10.1109/TVCG.2022.3209477
"The usability is high because mixed layout ‘manages to mitigate view occlusion’ (P7) compared with embedded layout, and relates views to their referents more intuitively than linked layout that ‘confuses me on the mapping rules between views and referents’ (P11).

Some participants recommended mixed layout as ‘balanced layout’ (P3), which benefits both ‘context-awareness and multiple-view analysis’ (P10). Interestingly, the participants gave a relatively low rating on level of analytics. Here, a main reason is that mixed layout arranges views out of FOV in the complex scene, which is not ideal for analytics.",occlusion; balance,bar charts; line charts; VR;,https://dx.doi.org/10.1109/TVCG.2022.3209475
"We got comments like “Interface is user friendly”, “Causal network gives control and flexibility”, “Causal network is very intuitive and easy to understand”, “Causal network is a great way to understand relationships between features”","intuitive; easy, understand;",networks;,https://dx.doi.org/10.1109/TVCG.2022.3209484
"comments sorted under ""Visibility"" (from additional content of the paper):

Easy to find the names
Hard/confusing to find people
Everything is visible
I cannot see everything at once/I want to zoom out or summarization view
Summary of selections needed
Took too much space
Crowded view
Having a big map is convenient
Confusing to have several maps
It shows things better",easy; hard; confusing; visible; see; crowded; convenient; show,flows; maps; paths;,https://dx.doi.org/10.1109/TVCG.2022.3209480
"For the Func tasks, participants appreciate the design of glyphs. As P6 mentioned that “it (the glyph visualization) is intuitive and informative.” P14 added, “I do not need to look up the documentation of functions because glyphs explain all.” ",,tables; text; flow;,https://dx.doi.org/10.1109/TVCG.2022.3144975
