collected terms from paperFound,,,,,,,,,,,,,,,,,,,,,
flag,original words,count keywords,keyword,dimension,comment,type,subject,object,item 1,item 2,item 3,doi link,terms to keep,keyword,side notes,,unique terms,count terms,,unique kewords,count keywords
FALSE,easy to learn to read; easy to learn,1,learn --,use,,verb,user,visualization,this visualization is easy to learn,,,https://dx.doi.org/10.1109/TVCG.2013.151,low clutter,cluttered,,,easy to understand,3,,"fast, find, information, requested",1
FALSE,prefered look,1,look --,aesthetics,,noun,visualization,visualization,I like the look of this visualization,,,https://dx.doi.org/10.1109/TVCG.2013.180,it was easy to gain a good overview of the data,"overview, gain, data",,,easy to use for understanding,1,,follow,1
FALSE,easy overview; good overview; enable overview,1,overview ++,clarity; meaning; focus,,noun,user,visualization,I can easily get a (good) overview of information (/data?) in this visualization,this visualization gives me a good overview of the information (/data?),this visualization provides a comprehensive overview of the data ++,https://dx.doi.org/10.1109/TVCG.2013.180,it was easy to understand the information displayed with this method,"understand, easy, display, information",,,effectiveness,2,,frustration,1
FALSE,feature easy to perceive,1,perceive ++,sensory,,verb,user,feature or element,{information feature} is easy to perceive in this visualization,this visualization allows (/enables?) me to (easily) perceive {information feature},,https://dx.doi.org/10.1109/TVCG.2013.180,it was easy to interpret the data values in the visualization,"interpret, data, value, visualization",,,enable overview,1,,glance,1
FALSE,quick to read,1,quick ++,speed,,noun,user,visualization,this visualization is quick to grasp,{information feature} is quick to retrieve from this visualization,,https://dx.doi.org/10.1109/TVCG.2013.180,I am confident that my answers were correct when using this method,"confidence, answer, correct",,,enjoyment,1,,"good, visual, design",1
FALSE,able to read; easy to read; quick to read,1,read --,-,,verb,user,visualization,,,,https://dx.doi.org/10.1109/TVCG.2014.2346983,easy / difficult,easy,,,facilitate data understanding,1,,grasp,1
FALSE,readable; poor / excellent readability,1,readable ++,-,,adjective,visualization,visualization,,,,https://dx.doi.org/10.1109/TVCG.2015.2467035,"symbols were easy to read, the text was easy to read","read, easy, text, symbol",,,feature easy to perceive,1,,"identify, easy, difficult",1
FALSE,recognizability,3,recognize --,meaning,,verb,user,feature or element; information,{information feature} is easy to recognize in this visualization,I can (easily) discern (all) the elements (/components?) of this visualization,,https://dx.doi.org/10.1109/TVCG.2015.2467035,it was easy to see the link between two components,"see, easy, link, component",,,feature visible,1,,interpret,3
FALSE,easy to see; see clearly,1,see ++,sensory,,verb,user,feature or element,{information feature} is easy to see in this visualization,I can (easily) see (all) the elements (/components?) of this visualization ++,,https://dx.doi.org/10.1109/TVCG.2015.2467035,I had a good overview of the whole diagram in my mind,"overview, diagram, mind",,,frustration,1,,"interpret, data, value, visualization",1
FALSE,makes sense,1,sense --,meaning,,noun,user,information,I can (easily) make sense from this visualization,,,https://dx.doi.org/10.1109/TVCG.2015.2467872,easy to understand,"understand, easy",,,good visual design,1,,"interpret, easy, hard",1
FALSE,simplicity,1,simple ++,clarity; use,,adjective,visualization,visualization,this visualization is simple (to understand),,,https://dx.doi.org/10.1109/TVCG.2017.2745941,feature easy to perceive,"perceive, feature, easy",,,graspable,1,,intuitive,1
FALSE,unambiguous,1,ambiguous ++,clarity; meaning,,adjective,visualization,information,this visualization is ambiguous,,,https://dx.doi.org/10.1109/TVCG.2017.2744118,able to read,"read, able",,,I am confident that my answers were correct when using this method,1,,"intuitive, visual, design",1
FALSE,easy / hard to understand; obvious to understand; easy to use for understanding; facilitate understanding; clear to understand,1,understand ++,meaning,,verb,user,information,this visualization is easy to understand ++,this visualization is (easily) understandable,,https://dx.doi.org/10.1109/TVCG.2018.2865192,good visual design,"good, visual, design",,,I am confused - it makes sense,1,,"learn, easy, read",1
FALSE,clearly visible; feature visible,1,visible ++,sensory,,adjective,visualization,feature or element,{information feature} is (clearly) visible in this visualization ++,,,https://dx.doi.org/10.1109/TVCG.2018.2865192,ease of use,ease of use,,,I had a good overview of the whole diagram in my mind,1,,look,1
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2018.2865232,is it easy to read and follow the logic?,read,(2 keywords => duplicated),,I see clearly (item),1,,"overview, diagram, mind",1
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2018.2865232,is it easy to read and follow the logic?,follow,(duplicate from terms to keep),,interpret,1,,"overview, enable",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2018.2865049,easy / hard to interpret,"interpret, easy, hard",,,interpretable,2,,"overview, gain, data",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030404,this graph has good readability,"readability, graph, good",,,intuitive,1,,"perceive, feature, easy",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,readable,readable,,,is it easy or hard to interpret the feature of the visualization?,1,,quick,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,feature visible,"visible, feature",,,is it easy or hard to understand the factors correlated with the visualization feature?,1,,read,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,recognizability,recognize,,,is it easy to read and follow the logic?,1,,"read, able",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,enable overview,"overview, enable",,,it was easy to gain a good overview of the data,1,,"read, easy",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,unambiguous (obvious to understand),"understand, obvious",(2 keywords => duplicated),,it was easy to interpret the data values in the visualization,1,,"read, easy, chart",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,at a glance,glance,,,it was easy to see the link between two components,1,,"read, easy, text, symbol",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,able to determine,determine,,,it was easy to understand the information displayed with this method,1,,"readability, graph, good",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,assessable,assess,,,it was fast to find the information requested in the practical tasks,1,,readable,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,interpret,interpret,,,low clutter,1,,"readable, poor, excellent",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030437,I see clearly (item),see,(2 keywords => duplicated),,poor / excellent readability,1,,recognize,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030358,easy to understand,"understand, easy, difficult",,,prefered look,1,,see,
,,,,,,,,,,,,https://dx.doi.org/10.1109/MCG.2016.100,easy / difficult to identify,"identify, easy, difficult",,,readability,2,,"see, easy, link, component",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2016.2642109,poor / excellent readability,"readable, poor, excellent",,,readable,1,,sense,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2018.2835485,the visual design is intuitive,"intuitive, visual, design",,,recognizability,1,,simple,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2019.2941208,easy to understand,"understand, easy",,,simplicity,1,,unambiguous,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2019.2941208,it was fast to find the information requested in the practical tasks,"fast, find, information, requested",,,"symbols were easy to read, the text was easy to read",1,,understand,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3004137,ease of use for the task,ease of use,,,the information was clearly visible,0,,"understand, data, facilitate",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2021.3068337,I am confused - it makes sense,sense,(2 keywords => duplicated),,the technique introduced a high amount of visual clutter,,,"understand, easy",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2021.3085327,readability,readable,,,the visual design is intuitive,,,"understand, easy, difficult",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2021.3114789,easy to use for understanding,understand,(2 keywords => duplicated),,this graph has good readability,,,"understand, easy, display, information",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2022.3209354,facilitate data understanding,"understand, data, facilitate",,,unambiguous (obvious to understand),,,"understand, obvious",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2022.3209475,easy to learn and understand,"easy, learn",(2 keywords => duplicated),,visually cluttered,,,visible,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2022.3209475,easy to learn and understand,"easy, understand",(duplicate from terms to keep),,which of these charts is quicker and easier to read?,,,"visible, feature",
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2021.3092680,which of these charts is quicker and easier to read?,"read, easy, chart",(2 keywords => duplicated),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2022.3144975,interpretable,interpret,,,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2022.3163727,clear to understand,understand,(2 keywords => duplicated),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2022.3163727,easy to read,"read, easy",,,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2015.2467872,interpretable,interpret,From content of the paper (not from the study),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2015.2467872,discernability,discern,From content of the paper (not from the study),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2017.2744118,graspable,grasp,From content of the paper (not from the study),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2021.3114789,easy to use for understanding,ease of use,(duplicate from terms to keep),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030388,unambiguous (obvious to understand),unambiguous,(duplicate from terms to keep),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2011.183,clearly visible,"clear, visible",(duplicate from terms to keep),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2020.3030437,I see clearly (item),clear,(duplicate from terms to keep),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2021.3092680,which of these charts is quicker and easier to read?,quick,(duplicate from terms to keep),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2021.3068337,I am confused - it makes sense,confusion,(duplicate from terms to keep),,,,,,
,,,,,,,,,,,,https://dx.doi.org/10.1109/TVCG.2022.3163727,clear to understand,clear,(duplicate from terms to keep),,,,,,
