,Sum_IDK_NA_total,Sum_IDK_NA_F,Sum_IDK_NA_E,Sum_IDK_NA_D,Sum_IDK_NA_C,Sum_IDK_NA_B,Sum_IDK_NA_A,All_comments_F,All_comments_E,All_comments_D,All_comments_C,All_comments_B,All_comments_A
lost,4,1,2,,,1,,There is definitely a lot going on in the graph but I think I am able to read it. The cumulative sales and the  average represented by the dashed straight line. .,"I did initially but the more i look at it i totally understand it.

The family tree above has less information in it and its really hard to  see who are siblings as it does not show on the above information.",,,"For the most part, I'm sometimes lost when trying to view the apples  though. .",
messi,2,1,,,,1,,I think maybe there could be a better way but its still possible to read it.,,,,Maybe I would have picked different colours less similar to each other (like replacing either the yellow with red).,
see,6,1,2,,2,1,,"Again, a lot of the data is interwoven, making it hard to read.","I don't really understand the question setting.

I don't think there is a trend/minimum/maximum/an outlier in this visualization because it is a family tree.",,"It's clear to see data which applies to geographically large countries, but difficult or impossible to see what applies to small countries!.

There's not really a trend or outlier visible.",I do not see an outlier.,
confus,4,2,,1,1,,,"Some of the colours are difficult to differentiate.

At first, yes. After 30 seconds, no. .",,The colours make it a little distracting. .,"It isn't confusing in that it's hard for me to decipher, but some elements do feel odd—for instance, only certain countries are labelled compared to others.",,
inform,2,,1,,1,,,,I had to go back to confirm that the 2 columns next to the grandparents represented each relationship and that the corresponding collumns against the children of the grandparents were determining the parentage of this generation.,,labels.,,
obvious,7,,6,,1,,,,"When you look at it for the first time, it takes a while to decipher because we're used to seeing family trees develop horizontally (from top to bottom) and not laterally (from left to right). On the other hand, replacing the symbols with squares and balls also makes it difficult to read.

Took  a minute to understand this chart.

This format is novel to me, and it took me a couple of minutes to grasp.

it needs a bit more scrutiny to understand fully.

 I disagree because it took far to long to figure out and even now i'm not 100% sure. .

Lack of specification of connection between people is the confusing part. (a.k.a who are the parents of the student's father and mother and the connection of the other people).",,It says number of students but is it number of students per head of population?.,,
represent,5,,2,2,1,,,,"it took me 5 minutes just looking at it to understand this table.

I can now after having a longer look but on first impressions it was not easy to understand. .","colours are confuzed.

The data is easy to read, but the color choice of the pie chart is not good.","The shades are a bit too similar, I can distinguish them but its a little hard from each subsequent group. For example, 101-1000 is easy to tell from 0, but a bit difficult to tell between 26-100 or >1000.",,
understandQuick,6,1,1,3,1,,,Too many data on one graphic too obtain a quick understanding.,"Not really, I had to think about how the kids of grandparents are developed.","it takes time to understand.

I can quickly understand it, but determining the different colours with the legend is hard as they are quite similar.

i have only now just started to get it .",The colour differences are a bit subtle and I find myself referring to the key more often than may be ideal.,,
visibl,6,1,3,1,1,,,i can see te line spaces just enough.,"There is no numerical data available in this study.

There is no trend or so in the data.

I don't think there is a trend/a minimum/maximum/an outlier in this visualization since this is a family tree.",I can but I hate this pie chart.  I would immediately send this back to the proper department and have them make a solid pie chart along with the actual data not this junky thing.,"Not really a trend or anything special in the graph visible. Just shows pure numbers, no distribution or so.",,
confid,4,1,2,1,,,,"It is not so easy to follow, because many lines are similar colours and they are very close to each other, but I do understand the visualization.","Agree now mostly but i'm still a little unsure.

Now after looking at it a bit more I am, but I had a bit of trouble in the beginning.","i understand the information, but the colors turn the process slower, it would be easier if you used 1 color instead of a gradient.",,,
crowd,2,,,2,,,,,,"I wouldn't say crowded. The color scheme is a bit harder to understand. Even for people with regular vision, it might be hard to differentiate between the less contrasting slices.

Too many colors can be confusing.",,,
meanElem,3,,1,2,,,,,"Not sure what the ""F"" stands for though...","The gradients, as opposed to flat colours, make it hard to tell between some of the categories, and to find any particular category quickly.

Multi coloured pie charts are very messy and takes time to study to make sure each correlates.  solid coloured pie charts are absolutely the best with tried and true results.  Don't try and fix that which is not broken.",,,
meanOveral,3,1,1,1,,,,The only problem of the graph is the color contrast of elements presented.,"I slightly disagree I actually found it hard to figure out and the answers I gave, I'm not 100% were correct. .",Some of the colours are too similar  when the pie slices are small and it makes it difficult to know which is which because the key is not large enough. key.,,,
understandEasi,3,,1,2,,,,,Similar to earlier answer I think its easier now to understand (maybe if I have figured it out correct) but orginally this was hard to understand.,"I fully understand how it's trying to convey it, but I have difficulty interpreting it.

single colours are much easier to differentiate.",,,
