item,presence count PA1,presence count PA2,presence count PA3,presence count PA4,Cross-loadings in A,Cross-loadings in B,Cross-loadings in C,Cross-loadings in D,Cross-loadings in E,Cross-loadings in F,Order in A,Order in B,Order in C,Order in D,Order in E,Order in F,PA1 A,PA1 B,PA1 C,PA1 D,PA1 E,PA1 F,PA2 A,PA2 B,PA2 C,PA2 D,PA2 E,PA2 F,PA3 A,PA3 B,PA3 C,PA3 D,PA3 E,PA3 F,PA4 A,PA4 B,PA4 C,PA4 D,PA4 E,PA4 F,average rank in PA1,average rank in PA2,average rank in PA3,average rank in PA4,factor rank in PA1 A,factor rank in PA1 B,factor rank in PA1 C,factor rank in PA1 D,factor rank in PA1 E,factor rank in PA1 F,factor rank in PA2 A,factor rank in PA2 B,factor rank in PA2 C,factor rank in PA2 D,factor rank in PA2 E,factor rank in PA2 F,factor rank in PA3 A,factor rank in PA3 B,factor rank in PA3 C,factor rank in PA3 D,factor rank in PA3 E,factor rank in PA3 F,factor rank in PA4 A,factor rank in PA4 B,factor rank in PA4 C,factor rank in PA4 D,factor rank in PA4 E,factor rank in PA4 F
readabl,3,0,0,2,0,1,0,0,1,Never above threshold,11,26,10,5,28,Missing,0.624513332526481,0.328518369023071,0.715877472394521,0.761967795016291,0.331370707762787,,,,,,,,,,,,,,,0.582341518174063,,,0.435570806758582,,,,,,11.0,,10.0,5.0,,,,,,,,,,,,,,,,5.0,,,11.0,
inform,3,0,0,3,0,0,0,0,1,0,12,23,18,4,23,24,0.594684687559502,,0.497053915075543,0.816941395008227,0.391717702417749,,,,,,,,,,,,,,,0.685105065163165,,,0.528951183840569,0.502984015124164,,,,,12.0,,18.0,4.0,,,,,,,,,,,,,,,,2.0,,,6.0,2.0
simpl,6,0,0,0,1,1,0,0,0,0,13,8,9,8,5,5,0.570647633431666,0.505661660319973,0.74514598168687,0.699792314851468,0.781946310479684,0.661601533894465,,,,,,,,,,,,,0.329754742262848,0.385587936167588,,,,,8.0,,,,13.0,8.0,9.0,8.0,5.0,5.0,,,,,,,,,,,,,,,,,,
valu,2,1,0,3,0,0,1,0,0,0,14,25,24,13,25,27,0.479026237996556,,,0.48354681815971,,,,,0.511713246856419,,,,,,,,,,,0.625176542138774,0.460323709635358,,0.477782255152143,0.409528564859734,,,,,14.0,,,13.0,,,,,3.0,,,,,,,,,,,4.0,,,8.0,5.0
find,2,0,0,4,0,0,1,0,0,0,15,24,28,2,20,25,0.401081680315081,,,0.937634319900723,,,,,0.350575433852924,,,,,,,,,,,0.674392597625713,0.447840988849137,,0.615836226162954,0.49244714137219,,,,,15.0,,,2.0,,,,,,,,,,,,,,,,3.0,1.0,,3.0,3.0
clearRepresent,5,0,0,1,1,0,0,0,0,1,28,9,11,9,9,12,0.385502849383592,0.456252273946797,0.672951936699355,0.655364135107013,0.529437006989865,0.479689149500693,,,,,,,,,,,,,0.44295412914292,,,,,0.321552478173904,,,,,,9.0,11.0,9.0,9.0,12.0,,,,,,,,,,,,,5.0,,,,,
distinguish,1,1,0,3,1,0,Never above threshold,0,0,1,18,27,Missing,11,27,23,0.32473950960088,,,0.616441983050115,,0.401442433569585,0.334445461232243,,,,,,,,,,,,,0.575321950539671,,,0.437552011226533,0.597908235227798,,,,,,,,11.0,,,3.0,,,,,,,,,,,,,6.0,,,10.0,1.0
lost,5,0,1,0,0,0,1,0,0,0,19,5,20,14,7,9,,0.631924612311595,0.410455979600159,0.452602881324727,0.744485887855012,0.530719775425576,,,,,,,0.868413268263797,,0.385763869277946,,,,,,,,,,,,,,,5.0,20.0,14.0,7.0,9.0,,,,,,,1.0,,,,,,,,,,,
complex,5,0,1,0,0,0,0,0,0,0,20,7,17,15,3,10,,0.544837058722315,0.505960882766705,0.449527614735634,0.806810839609369,0.511987242045539,,,,,,,0.641395178818786,,,,,,,,,,,,,,,,,7.0,17.0,15.0,3.0,10.0,,,,,,,2.0,,,,,,,,,,,
confus,5,0,1,0,0,0,1,0,0,0,21,6,15,10,8,4,,0.559648716967069,0.530353026786392,0.629860529359648,0.679124568053791,0.688607839284654,,,,,,,0.585278878201639,,0.446048937595536,,,,,,,,,,,,,,,6.0,15.0,10.0,8.0,4.0,,,,,,,3.0,,,,,,,,,,,
deciph,5,0,1,0,0,0,0,0,0,0,22,12,16,6,1,6,,0.386721581998588,0.525394453432183,0.749566927759648,0.965936283394163,0.646662910795978,,,,,,,0.556604641334482,,,,,,,,,,,,,,,,,12.0,16.0,6.0,1.0,6.0,,,,,,,4.0,,,,,,,,,,,
crowd,2,1,3,0,0,0,0,0,0,0,23,3,25,25,14,2,,0.819012426015696,,,,0.933496942330683,,,,,0.668763993419963,,0.442317118182431,,0.989694002225431,0.897048844985849,,,,,,,,,,,,,,3.0,,,,2.0,,,,,3.0,,5.0,,1.0,1.0,,,,,,,,
messi,2,1,2,1,1,0,0,0,0,0,25,1,26,26,12,1,,1.0072448296149,,,,1.02258168214039,,,,,0.802461901844458,,0.332769000879303,,0.819323128460953,0.681282838661253,,,0.670035790550134,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,2.0,2.0,,,2.0,,,,,
organiz,3,1,1,1,0,0,0,0,0,0,24,4,21,27,13,3,,0.67122553567122,0.356278894015249,,,0.737594955958351,,,,,0.683520038751346,,,,,0.494347530590894,,,0.955108903204137,,,,,,,,,,,4.0,21.0,,,3.0,,,,,2.0,,,,,3.0,,,1.0,,,,,
clearData,5,0,0,1,0,1,0,0,0,0,26,10,14,3,11,8,,0.446791902960471,0.569756210874423,0.833406981466652,0.496723305554687,0.554463694833838,,,,,,,,,,,,,0.533749476980416,0.445318355835495,,,,,,,,,,10.0,14.0,3.0,11.0,8.0,,,,,,,,,,,,,3.0,,,,,
effect,2,0,0,4,0,0,0,0,1,0,27,29,19,12,26,28,,,0.452771498770162,0.603338371330135,0.368898851784048,,,,,,,,,,,,,,0.459124194304928,0.394276401500154,,,0.470668703875384,0.350352956804513,,,,,,,19.0,12.0,,,,,,,,,,,,,,,4.0,8.0,,,9.0,6.0
see,0,3,2,1,0,0,0,0,0,0,16,14,23,29,16,21,,,,,,,0.898068589305751,0.742277601260432,0.850346459880369,,,,,,,,0.94690390154141,0.91410771310393,,,,0.725983921297026,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,1.0,1.0,,,,2.0,,
visibl,0,3,2,1,0,0,0,0,0,0,17,13,22,28,17,22,,,,,,,0.873611861814922,0.753194048511876,0.961027119357852,,,,,,,,0.732099848173514,0.822755152562068,,,,0.737149899683312,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,2.0,2.0,,,,1.0,,
distract,3,1,1,0,Never above threshold,0,0,1,0,0,Missing,2,27,16,15,7,,0.850163006005345,,0.378635208201912,,0.577127370695943,,,,,0.64051874772002,,,,0.719393704120982,0.340663919146383,,,,,,,,,,,,,,2.0,,16.0,,7.0,,,,,4.0,,,,3.0,,,,,,,,,
