,Unnamed: 0,keep,S_Index,ID,Statement,Splitted propositions,Key_expressions,Subject,Subject_quality,Verb,Verb_quality,Object,Object_quality,Complement,Action_quality-Rewritten,Tokens_Subject,Tokens_Subject_quality,Tokens_Verb,Tokens_Verb_quality,Tokens_Object,Tokens_Object_quality,CONCEPT_Subject,CONCEPT_Subject_quality,CONCEPT_Verb,CONCEPT_Verb_quality,CONCEPT_Object,CONCEPT_Object_quality
10,10,True,7,1996775068,"Without annotation, this picture is useless, as I do not know where to look and what to see.","Without annotation, this picture is useless",useless,picture,useless,be,,,,without annotation,,['picture'],['useless'],['be'],,,,['VISUALIZATION'],['RELEVANT'],['STATE'],,,
11,11,True,7,1996775068,"Without annotation, this picture is useless, as I do not know where to look and what to see.",I do not know where to look and what to see,know where to look; know what to see,viewer,,know,not,where; what,"look, see",without annotation,,['viewer'],,['know'],['stpwrd'],['stpwrd'],"['look', 'see']",['READER'],,['KNOW'],[],[],"['SEARCH', 'VIEW']"
12,12,True,8,1996775068,It took me [1 second / 1 minute / 1 hour] to understand the visualization,,timespan; understand,viewer,,understand,took [timespan],visualization,,,,['viewer'],,['understand'],"['took', 'timespan']",['visualization'],,['READER'],,['UNDERSTAND'],"['TIME', 'TIME']",['DATA FEATURE'],
13,13,True,9,98478158,This visualization is easy for me to process for the intended task(s) or activitie(s).,,easy to process,viewer,,process,easy,visualization,,for intended task; for intended activity,,['viewer'],,['process'],['easy'],['visualization'],,['READER'],,['REASON'],['EASINESS'],['DATA FEATURE'],
14,14,True,10,98478158,"For task(s) or activitie(s) that I intend to use this visualization for, I can easily read relevant information from this visualization.",,easily read; relevant information,viewer,able,read,easily,information,relevant,from visualization; use for intended task; use for intended activity,,['viewer'],['able'],['read'],['easily'],['information'],['relevant'],['READER'],['SUPPORT'],['READ'],['EASINESS'],['INFORMATION'],['RELEVANT']
15,15,True,11,98478158,I can easily read the information I need from this visualization.,,easily read; needed information,viewer,able,read,easily,information,needed,from visualization,,['viewer'],['able'],['read'],['easily'],['information'],['needed'],['READER'],['SUPPORT'],['READ'],['EASINESS'],['INFORMATION'],['RELEVANT']
16,16,True,12,98478158,This visualization is readable.,,readable;,visualization,readable,be,,,,,,['visualization'],['readable'],['be'],,,,['VISUALIZATION'],['READ'],['STATE'],,,
17,17,True,13,98478158,"Think of books. Some books are easy to read, others are difficult. Transfer that scale to this visualization. I think that this visualization is readable.",,readable; easy to read; difficult,visualization,readable; easy to read; difficult to read,be,,,,like a book is easy or difficult to read,,['visualization'],"['readable', 'easy', 'read', 'difficult', 'read']",['be'],,,,['VISUALIZATION'],"['READ', 'EASINESS', 'READ', 'EASINESS', 'READ']",['STATE'],,,
18,18,True,14,98478158,I can easily see and process information from this visualization.,,easily see; easily process; information,viewer,,see; process,easily,information,,from visualization,,['viewer'],,"['see', 'process']",['easily'],['information'],,['READER'],,"['VIEW', 'REASON']",['EASINESS'],['INFORMATION'],
19,19,True,15,1620431626,Text and labels are appropriately sized and readable.,,text; labels; sized; readable,text; labels,appropriately sized; readable,be,,,,,,"['text', 'labels']","['appropriately', 'sized', 'readable']",['be'],,,,"['VIS TEXT', 'REFERENCE STRUCTURES']","['RELEVANT', 'VIS APPEARANCE', 'READ']",['STATE'],,,
20,20,True,16,1620431626,The scale of the visualization on the screen is appropriately sized.,,scale; sized;,scale of visualization,appropriately sized;,be,,,,on the screen,,"['scale', 'visualization']","['appropriately', 'sized']",['be'],,,,"['VIS APPEARANCE', 'VISUALIZATION']","['RELEVANT', 'VIS APPEARANCE']",['STATE'],,,
21,21,True,17,1620431626,There is no blurring or image quality issue with the visualization.,,blurring; image quality,visualization,blurring; image quality issue,have (be),,,,,,['visualization'],"['blurring', 'image', 'quality', 'issue']",['be'],,,,['VISUALIZATION'],"['VIS APPEARANCE', 'VISUALIZATION', 'VIS APPEARANCE', 'PROBLEMATIC']",['STATE'],,,
22,22,True,18,1620431626,I can interpret the meaning of the chart easily.,,interpret; meaning,viewer,able,interpret,easily,meaning,of the chart,,,['viewer'],['able'],['interpret'],['easily'],['meaning'],['chart'],['READER'],['SUPPORT'],['UNDERSTAND'],['EASINESS'],['TAKEAWAY'],['VISUALIZATION']
23,23,True,19,1620431626,I think others could interpret the meaning of the chart easily.,,others; interpret; meaning,others,,interpret,easily,meaning,,I think,,['others'],,['interpret'],['easily'],['meaning'],,['OTHER PEOPLE'],,['UNDERSTAND'],['EASINESS'],['TAKEAWAY'],
24,24,True,20,1620431626,I find the visualization to be visually overwhelming.,,visually overwhelming,visualization,visually overwhelming,be,,,,I find,,['visualization'],"['visually', 'overwhelming']",['be'],,,,['VISUALIZATION'],"['VISUAL', 'CLARITY']",['STATE'],,,
25,25,True,21,179150639,I can clearly identify features of the data that are relevant to my analysis tasks.,,clearly identify; data features; relevant,viewer,able,identify,clearly,data features,relevant,to analysis task,,['viewer'],['able'],['identify'],['clearly'],"['data', 'features']",['relevant'],['READER'],['SUPPORT'],['QUERY'],['CLARITY'],"['DATA', 'DATA FEATURES']",['RELEVANT']
26,26,True,22,179150639,I am not distracted by representations of data that are not relevant to my analysis tasks.,,distracted; relevant representations,viewer,,distracted,not,data representations,not relevant,to analysis task,,['viewer'],,['distracted'],['stpwrd'],"['data', 'representations']",['relevant'],['READER'],,['FOCUS'],[],"['DATA', 'VIS ELEMENTS']",['RELEVANT']
27,27,True,23,179150639,I can clearly identify patterns and trends that are relevant to my analysis tasks.,,clearly identify; pattern; trend; relevant,viewer,able,identify,clearly,trend; pattern,relevant,to analysis task,,['viewer'],['able'],['identify'],['clearly'],"['trend', 'pattern']",['relevant'],['READER'],['SUPPORT'],['QUERY'],['CLARITY'],"['DATA FEATURES', 'DATA FEATURES']",['RELEVANT']
28,28,True,24,179150639,My eyes are drawn to interesting and/or meaningful features of the data,,eyes; drawn to; interesting; meaningful; data features,viewer's eyes,drawn to,be,,data features,interesting; meaningful,,,"['viewer', 'eyes']",['drawn'],['be'],,"['data', 'features']","['interesting', 'meaningful']","['READER', 'READER']",['GUIDANCE'],['STATE'],,"['DATA', 'DATA FEATURES']","['INFORMATIVE', 'MEANING']"
29,29,True,25,179150639,I am not irritated by the design choices that were made during the creation of this data visualization.,,irritated; design choices,viewer,irritated,be,not,design choices,made during creation,,,['viewer'],['irritated'],['be'],['stpwrd'],"['design', 'choices']","['made', 'creation']",['READER'],['ANNOYANCE'],['STATE'],[],"['ENCODINGS', 'INTENT']","['AFFECT', 'DESIGN']"
30,30,True,26,179150639,I am able to make sense of the meaning of the data visualization without having to look at it for more than a few seconds.,I am able to make sense of the meaning of the data visualization,make sense; meaning; ,viewer,able,make sense,not having to look for more than few seconds,data visualization,meaning,,at a glance,['viewer'],['able'],['makesense'],"['look', 'seconds']","['data', 'visualization']",['meaning'],['READER'],['SUPPORT'],['UNDERSTAND'],"['VIEW', 'TIME']","['DATA', 'DATA FEATURE']",['MEANING']
31,31,True,26,179150639,I am able to make sense of the meaning of the data visualization without having to look at it for more than a few seconds.,without having to look at it for more than a few seconds,few seconds; look;,viewer,,look,not more than few seconds,visualization,,(meaning),,['viewer'],,['look'],['seconds'],['visualization'],,['READER'],,['VIEW'],['TIME'],['DATA FEATURE'],
32,32,True,27,179150639,Looking at this data visualization does not make me swear out loud.,,annoyed;,viewer,annoyed,look,,data visualization,,,,['viewer'],['annoyed'],['look'],,"['data', 'visualization']",,['READER'],['ANNOYANCE'],['VIEW'],,"['DATA', 'DATA FEATURE']",
33,33,True,28,179150639,The data visualization doesn't make me more confused than if I have had never looked at it in the first place.,,confused;,visualization,,makes,not,viewer,more confused,than if I had never looked at it in the first place,,['visualization'],,['makes'],['stpwrd'],['viewer'],['confused'],['VISUALIZATION'],,['AFFECT'],[],['READER'],['CLARITY']
34,34,True,29,1444224863,It is easy to grasp the information that the visualization is intended to convey?,,easy grasp; information; convey,viewer,,grasp,easy,information,intended to convey,in the visualization,,['viewer'],,['grasp'],['easy'],['information'],"['intended', 'convey']",['READER'],,['UNDERSTAND'],['EASINESS'],['INFORMATION'],"['DESIGNER', 'CONVEY']"
35,35,True,30,1444224863,It is easy to generate a verbal/textual description/story out of the visualization,,story; verbal description,viewer,,generate,easy,description; story,verbal; textual,from the visualization,,['viewer'],,['generate'],['easy'],"['description', 'story']","['verbal', 'textual']",['READER'],,['VERBALIZE'],['EASINESS'],"['TAKEAWAY', 'TAKEAWAY']","['VERBALIZE', 'VERBALIZE']"
36,36,True,31,1444224863,"It is easy to grasp the context (units, axes, labels, geo-spatial info) from the visualization",,easy grasp; context;,viewer,,grasp,easy,context; units; axes; labels; spatial information,,in the visualization,,['viewer'],,['grasp'],['easy'],"['context', 'units', 'axes', 'labels', 'spatial', 'information']",,['READER'],,['UNDERSTAND'],['EASINESS'],"['CONTEXT', 'VIS ELEMENTS', 'REFERENCE STRUCTURES', 'REFERENCE STRUCTURES', 'CONTEXT', 'INFORMATION']",
37,37,True,32,1444224863,It is easy to interpret/deciper the visual encodings,,interpret; decipher,viewer,,interpret; decipher,easily,visual encodings;,,,,['viewer'],,"['interpret', 'decipher']",['easily'],"['visual', 'encodings']",,['READER'],,"['UNDERSTAND', 'UNDERSTAND']",['EASINESS'],"['VISUAL', 'ENCODINGS']",
38,38,True,33,1444224863,It is easy to see patterns,,patterns;,viewer,,see,easy,patterns,,,,['viewer'],,['see'],['easy'],['patterns'],,['READER'],,['VIEW'],['EASINESS'],['DATA FEATURES'],
39,39,True,34,1444224863,"It is easy to see trends, clusters, outliers",,trends; clusters; outliers,viewer,,see,easy,trends; clusters; outliers,,,,['viewer'],,['see'],['easy'],"['trends', 'clusters', 'outliers']",,['READER'],,['VIEW'],['EASINESS'],"['DATA FEATURES', 'DATA FEATURES', 'DATA FEATURES']",
40,40,True,35,795509158,I can quickly understand what the visualization is trying to convey.,,quickly understand; ,viewer,able,understand,quickly,what,visualization trying to convey,,,['viewer'],['able'],['understand'],['quickly'],['stpwrd'],"['visualization', 'trying', 'convey']",['READER'],['SUPPORT'],['UNDERSTAND'],['TIME'],[],"['VISUALIZATION', 'TRY', 'CONVEY']"
41,41,True,36,795509158,The visual appearance of the visualization is attracting my attention and I want to explore the data in greater detail.,,attracting; attention; ,visual appearance,,attracting,,attention,,,,"['visual', 'appearance']",,['attracting'],,['attention'],,"['VISUAL', 'VIS APPEARANCE']",,['FOCUS'],,['FOCUS'],
42,42,True,36,795509158,The visual appearance of the visualization is attracting my attention and I want to explore the data in greater detail.,,want; explore; details,viewer,,want,to explore,data details,,,,['viewer'],,['want'],['explore'],"['data', 'details']",,['READER'],,['WANT'],['SEARCH'],"['DATA', 'DETAILS']",
43,43,True,37,795509158,The visualization shows exactly the amount of information that is required.,,shows exactly; required amount; information,visualization,,shows,exactly,amount of information,required,,,['visualization'],,['shows'],['exactly'],"['amount', 'information']",['required'],['VISUALIZATION'],,['SHOW'],['ACCURATE'],"['ENOUGH', 'INFORMATION']",['RELEVANT']
44,44,True,38,1795300946,The chart was easy to read.,,easy to read;,chart,easy to read,be,,,,,,['chart'],"['easy', 'read']",['be'],,,,['VISUALIZATION'],"['EASINESS', 'READ']",['STATE'],,,
45,45,True,39,1795300946,I was able to extract the data points/values I was interested in.,,extract; data points; values; interested,viewer,able,extract,,data points; values,interested in,,,['viewer'],['able'],['extract'],,"['data', 'points', 'values']",['interested'],['READER'],['SUPPORT'],['QUERY'],,"['DATA', 'DATA', 'INFORMATION']",['RELEVANT']
46,46,True,40,1795300946,It took a long time for me to understand what the chart was saying.,,long time; understand; says,viewer,,understand,took long time,what,chart says,,,['viewer'],,['understand'],"['took', 'long', 'time']",['stpwrd'],"['chart', 'says']",['READER'],,['UNDERSTAND'],"['TIME', 'TIME', 'TIME']",[],"['VISUALIZATION', 'CONVEY']"
47,47,True,41,1795300946,The chart was difficult to read.,,difficult to read;,chart,difficult to read,be,,,,,,['chart'],"['difficult', 'read']",['be'],,,,['VISUALIZATION'],"['EASINESS', 'READ']",['STATE'],,,
48,48,True,42,1795300946,I couldn't find the information I needed to read or understand the chart.,,find; needed information,viewer,able,find,not,information,needed,,,['viewer'],['able'],['find'],['stpwrd'],['information'],['needed'],['READER'],['SUPPORT'],['SEARCH'],[],['INFORMATION'],['RELEVANT']
49,49,True,42,1795300946,I couldn't find the information I needed to read or understand the chart.,,needed information,information,needed,be,,,,to understand the chart; to read the chart,,['information'],['needed'],['be'],,,,['INFORMATION'],['RELEVANT'],['STATE'],,,
50,50,True,43,1795300946,It did not take me a long time to read the chart.,,long time; read;,viewer,,read,not take long time,chart,,,,['viewer'],,['read'],"['take', 'long', 'time']",['chart'],,['READER'],,['READ'],"['REQUIREMENT', 'TIME', 'TIME']",['VISUALIZATION'],
51,51,True,44,928154673,I could make sense of the information in the graphic,,make sense; information,viewer,,make sense,,information,,in the graphic,,['viewer'],,['makesense'],,['information'],,['READER'],,['UNDERSTAND'],,['INFORMATION'],
52,52,True,45,928154673,The graphic was informative,,informative,visualization,informative,be,,,,,,['visualization'],['informative'],['be'],,,,['VISUALIZATION'],['INFORMATIVE'],['STATE'],,,
53,53,True,46,928154673,I could see structure in the graphic,,see; structure,viewer,,see,,structure,,in the graphic,,['viewer'],,['see'],,['structure'],,['READER'],,['VIEW'],,['ENCODINGS'],
54,54,True,47,1998530479,This visualization is easy to understand.,,easy; understand,visualization,easy to understand,be,,,,,,['visualization'],"['easy', 'understand']",['be'],,,,['VISUALIZATION'],"['EASINESS', 'UNDERSTAND']",['STATE'],,,
55,55,True,48,1998530479,This visualization is challenging to understand.,,challenging; understand,visualization,challenging to understand,be,,,,,,['visualization'],"['challenging', 'understand']",['be'],,,,['VISUALIZATION'],"['EASINESS', 'UNDERSTAND']",['STATE'],,,
56,56,True,49,1998530479,I can make sense of everything in this visualization.,,make sense; everything,viewer,able,make sense,,everything,,in the visualization,,['viewer'],['able'],['makesense'],,['everything'],,['READER'],['SUPPORT'],['UNDERSTAND'],,['VIS ELEMENTS'],
57,57,True,50,1998530479,There are parts of this visualization that are confusing.,,parts; confusing,parts of visualization,confusing,be,,,,,,"['parts', 'visualization']",['confusing'],['be'],,,,"['VIS ELEMENTS', 'VISUALIZATION']",['CLARITY'],['STATE'],,,
58,58,True,51,1998530479,I could rapidly make sense of this visualization.,,make sense; rapidly,viewer,,make sense,rapidly,,,,,['viewer'],,['makesense'],['rapidly'],,,['READER'],,['UNDERSTAND'],['TIME'],,
59,59,True,52,1998530479,It took me some time to make sense of this visualization.,,time; make sense,viewer,,make sense,took time,of the visualization,,,,['viewer'],,['makesense'],"['took', 'time']",['visualization'],,['READER'],,['UNDERSTAND'],"['TIME', 'TIME']",['DATA FEATURE'],
60,60,True,53,667498089,I find and understand the legend easily.,,easily find; understand easily; legend,viewer,,find; understand,easily,legend,,I find,,['viewer'],,"['find', 'understand']",['easily'],['legend'],,['READER'],,"['SEARCH', 'UNDERSTAND']",['EASINESS'],['REFERENCE STRUCTURES'],
61,61,True,54,667498089,"I feel confident in identifying outliers, i.e. entities with abnormal properties.",,confident; identify; outliers; entities properties; abnormal properties,viewer,confident feeling,identify,,outliers; entities with abnormal properties,,,,['viewer'],"['confident', 'feeling']",['identify'],,"['outliers', 'entities', 'abnormal', 'properties']",,['READER'],"['CONFIDENT', 'FEELING']",['QUERY'],,"['DATA FEATURES', 'DATA', 'INFORMATIVE', 'DATA FEATURES']",
62,62,True,55,667498089,I feel confident in identifying one or more groups of entities with similar properties.,,confident; identify; groups; entities properties; similar properties,viewer,confident feeling,identify,,groups; entities with similar properties,,,,['viewer'],"['confident', 'feeling']",['identify'],,"['groups', 'entities', 'similar', 'properties']",,['READER'],"['CONFIDENT', 'FEELING']",['QUERY'],,"['DATA FEATURES', 'DATA', 'QUERY', 'DATA FEATURES']",
63,63,True,56,667498089,I feel confident in understanding relations between properties based on the shown entities.,,confident; understand; properties relationships;,viewer,confident feeling,understand,,relationships between properties,,based on shown entities,,['viewer'],"['confident', 'feeling']",['understand'],,"['relationships', 'properties']",,['READER'],"['CONFIDENT', 'FEELING']",['UNDERSTAND'],,"['DATA FEATURES', 'DATA FEATURES']",
64,64,True,57,1788435936,The visual encodings are clearly showing the data.,,visual encodings; show clearly; data,visual encodings,,show,clearly,data,,,,"['visual', 'encodings']",,['show'],['clearly'],['data'],,"['VISUAL', 'ENCODINGS']",,['SHOW'],['CLARITY'],['DATA'],
65,65,True,58,1788435936,The  plot is easy to understand.,,easy; understand; plot,plot,easy to understand,be,,,,,,['plot'],"['easy', 'understand']",['be'],,,,['VISUALIZATION'],"['EASINESS', 'UNDERSTAND']",['STATE'],,,
66,66,True,59,1788435936,I can interpret the information in the plot.,,interpret; information;,viewer,able,interpret,,information,,in the plot,,['viewer'],['able'],['interpret'],,['information'],,['READER'],['SUPPORT'],['UNDERSTAND'],,['INFORMATION'],
67,67,True,60,1788435936,The plot is easy to read.,,easy; read,plot,easy to read,be,,,,,,['plot'],"['easy', 'read']",['be'],,,,['VISUALIZATION'],"['EASINESS', 'READ']",['STATE'],,,
68,68,True,61,1788435936,The plot is cluttered.,,cluttered,plot,cluttered,be,,,,,,['plot'],['cluttered'],['be'],,,,['VISUALIZATION'],['CLUTTER'],['STATE'],,,
69,69,True,62,1788435936,I have a hard time understanding what I am seeing here.,,hard time; understand; what I see,viewer,,understand,hard time,what,I see,,,['viewer'],,['understand'],"['hard', 'time']",['stpwrd'],['see'],['READER'],,['UNDERSTAND'],"['EASINESS', 'TIME']",[],['VIEW']
70,70,True,63,1788435936,The main message the plot wants to make is clear to me.,The main message the plot wants to make,main message;,plot,,wants to make,,main message,,,,['plot'],,"['wants', 'make']",,"['main', 'message']",,['VISUALIZATION'],,"['CONVEY', 'ACHIEVE']",,"['KEY', 'TAKEAWAY']",
71,71,True,63,1788435936,The main message the plot wants to make is clear to me.,(message) is clear to me,message; clear,message,clear,be,,to viewer,,,,['message'],['clear'],['be'],,['viewer'],,['TAKEAWAY'],['CLARITY'],['STATE'],,['READER'],
72,72,True,64,1788435936,There are enough annotations to help me understand the plot.,There are enough annotations,annotations; enough,annotations,enough,be,,,,to understand,,['annotations'],['enough'],['be'],,,,['REFERENCE STRUCTURES'],['ENOUGH'],['STATE'],,,
73,73,True,64,1788435936,There are enough annotations to help me understand the plot.,annotations help me understand the plot,annotations; help understand;,annotations,,help understand,,plot,,,,['annotations'],,"['help', 'understand']",,['plot'],,['REFERENCE STRUCTURES'],,"['SUPPORT', 'UNDERSTAND']",,['VISUALIZATION'],
74,74,True,65,2097618556,The layout allows you to identify/rank communities.,,layout; identify; rank; communities,viewer,,identify; rank,layout allows,communities,,,,['viewer'],,"['identify', 'rank']","['layout', 'allows']",['communities'],,['READER'],,"['QUERY', 'QUERY']","['ENCODINGS', 'SUPPORT']",['DATA FEATURES'],
75,75,True,66,2097618556,This ordering makes selection easier.,,ordering; easier selection,ordering,,makes,,selection,easier,,,['ordering'],,['makes'],,['selection'],['easier'],['ENCODINGS'],,['AFFECT'],,['OPERATION'],['EASINESS']
76,76,True,67,2097618556,The resulting distortion does not impact your ability to differentiate the activity level of one group from another.,The resulting distortion does not impact your ability ,distortion; impact; differentiate,distortion,,impact,not,viewer's ability,to differentiate,,,['distortion'],,['impact'],['stpwrd'],"['viewer', 'ability']",['differentiate'],['DISTORTION'],,['AFFECT'],[],"['READER', 'SUPPORT']",['QUERY']
77,77,True,67,2097618556,The resulting distortion does not impact your ability to differentiate the activity level of one group from another.,your ability to differentiate the activity level of one group from another,differentiate; level,viewer,able,differentiate,,activity level,one group from another,,,['viewer'],['able'],['differentiate'],,"['activity', 'level']","['one', 'group', 'another']",['READER'],['SUPPORT'],['QUERY'],,"['DATA FEATURES', 'DATA FEATURES']","['DATA', 'DATA FEATURES', 'QUERY']"
78,78,True,68,2097618556,The color encoding of the visualization correctly conveys the information expected by you (or that you were given).,,color encoding; conveys; information,color encoding,,conveys,correctly,information,expected; given,,,"['color', 'encoding']",,['conveys'],['correctly'],['information'],"['expected', 'given']","['ENCODINGS', 'ENCODINGS']",,['CONVEY'],['ACCURATE'],['INFORMATION'],"['EXPECTATION', 'EXPECTATION']"
79,79,True,69,867063270,I can (easily) explain this graph to friend.,,easily explain; ,viewer,able,explain,easily,graph; to a friend,,,,['viewer'],['able'],['explain'],['easily'],"['graph', 'friend']",,['READER'],['SUPPORT'],['VERBALIZE'],['EASINESS'],"['VISUALIZATION', 'OTHER PEOPLE']",
80,80,True,70,867063270,This graph is easy to comprehend.,,easy; comprehend,graph,easy to comprehend,be,,,,,,['graph'],"['easy', 'comprehend']",['be'],,,,['VISUALIZATION'],"['EASINESS', 'UNDERSTAND']",['STATE'],,,
81,81,True,71,867063270,It is easy to summarize the main message of this graph in a paragraph.,,summarize; main message; paragraph,viewer,,summarize,easily; in a paragraph,main message,of this graph,,,['viewer'],,['summarize'],"['easily', 'paragraph']","['main', 'message']",['graph'],['READER'],,['VERBALIZE'],"['EASINESS', 'CONCISELY']","['KEY', 'TAKEAWAY']",['VISUALIZATION']
82,82,True,72,1909682060,The intended messages or takeaways of this visualization are clear,,intended messages; takeaways; clear,intended messages; takeaways,clear,be,,,,in the visualization,,"['intended', 'messages', 'takeaways']",['clear'],['be'],,,,"['DESIGNER', 'TAKEAWAY', 'TAKEAWAY']",['CLARITY'],['STATE'],,,
83,83,True,73,1909682060,It does not take much effort for me to extract information from this visualization,,effort; extract; information,viewer,,extract,take effort,information,,from the visualization,,['viewer'],,['extract'],"['take', 'effort']",['information'],,['READER'],,['QUERY'],"['REQUIREMENT', 'EASINESS']",['INFORMATION'],
84,84,True,74,1909682060,"The key information in this visualization is clearly, concisely, and saliently presented",,key information; presented; clearly; saliently; consisely;,information,key; presented,be,clearly; consisely; saliently,,,in the visualization,,['information'],"['key', 'presented']",['be'],"['clearly', 'consisely', 'saliently']",,,['INFORMATION'],"['KEY', 'SHOW']",['STATE'],"['CLARITY', 'CONCISE', 'GUIDANCE']",,
85,85,True,75,1909682060,I have enough information to interpret this chart,,information; enough; interpret,viewer,,have,,information,enough; interpret,to interpret,,['viewer'],,['stpwrd'],,['information'],"['enough', 'interpret']",['READER'],,[],,['INFORMATION'],"['ENOUGH', 'UNDERSTAND']"
86,87,True,76,1909682060,"Inversely Scored - This visualization is cluttered, confusing, or disorienting",,cluttered; confusing; disorienting,visualization,cluttered; confusing; disorienting,be,,,,,,['visualization'],"['cluttered', 'confusing', 'disorienting']",['be'],,,,['VISUALIZATION'],"['CLUTTER', 'CLARITY', 'GUIDANCE']",['STATE'],,,
87,88,True,77,1909682060,"I can determine, at a glance, key facts or information from this chart",,determine; at a glance; key fact; key information,viewer,able,determine,at glance,key information; key fact,,,,['viewer'],['able'],['determine'],['glance'],"['key', 'information', 'key', 'fact']",,['READER'],['SUPPORT'],['QUERY'],['TIME'],"['KEY', 'INFORMATION', 'KEY', 'INFORMATION']",
88,89,True,78,1909682060,Inversely Scored - This visualization requires special expertise or skills to interpret,,require; expertise; skills; interpret,visualization,interpret,require;,,expertise; skills,special;,to interpret,,['visualization'],['interpret'],['require'],,"['expertise', 'skills']",['special'],['VISUALIZATION'],['UNDERSTAND'],['REQUIRE'],,"['EXPERTISE', 'EXPERTISE']",['SPECIFIC']
89,90,True,79,592571633,"When I look at this image, I immediately understand how to recover the data values, and am confident that I know how to extract patterns and relationships in those data","When I look at this image, I immediately understand how to recover the data values",immediately understand; how to; recover; data values,viewer,,understand,immediately,how,recover data values,when looking at the visualization,,['viewer'],,['understand'],['immediately'],['stpwrd'],"['recover', 'data', 'values']",['READER'],,['UNDERSTAND'],['TIME'],[],"['QUERY', 'DATA', 'DATA FEATURES']"
90,91,True,79,592571633,"When I look at this image, I immediately understand how to recover the data values, and am confident that I know how to extract patterns and relationships in those data","When I look at this image, I am confident that I know how to extract patterns and relationships in those data",confident; know; how to; extract; patterns; relationships,viewer,confident,know,,how,extract patterns; extract relationships,in the data,,['viewer'],['confident'],['know'],,['stpwrd'],"['extract', 'patterns', 'extract', 'relationships']",['READER'],['CONFIDENT'],['KNOW'],,[],"['QUERY', 'DATA FEATURES', 'QUERY', 'DATA FEATURES']"
91,92,True,80,592571633,"I know what this means, and what to do with it",,know; means; do,viewer,,know,,what,it means; do with it,,,['viewer'],,['know'],,['stpwrd'],['means'],['READER'],,['KNOW'],,[],['MEANING']
