seed,Answers_count,submitdate,lastpage,Age,Gender,Education,English_primary,English_fluent,refurl,colorDeficiency,colorDeficiency_comment_,rand,ATaskRV,ATaskFE,ATaskTopic,answerA,answerA_other_,attentionCheckA,clearDataA,clearDataA_other_,clearRepresentA,clearRepresentA_other_,crowdA,complexA,confidA,confusA,messiA,deciphA,distinguishA,distinguishA_other_,distractA,effectA,effectA_other_,findA,findA_other_,identifiA,identifiA_other_,informA,lostA,meanElemA,meanOveralA,obviousA,organizA,organizA_other_,representA,readA,readA_other_,readablA,readablA_other_,seeA,simplA,simplA_other_,understandEasiA,understandQuickA,valuA,valuA_other_,visiblA,BTaskRV,BTaskFCT,BTaskTopic,answerB,answerB_other_,attentionCheckB,clearDataB,clearRepresentB,crowdB,complexB,complexB_other_,confidB,confusB,messiB,messiB_other_,deciphB,deciphB_other_,distinguishB,distractB,distractB_other_,effectB,findB,identifiB,informB,lostB,lostB_other_,meanElemB,meanOveralB,obviousB,organizB,representB,readB,readablB,readablB_other_,seeB,seeB_other_,simplB,understandEasiB,understandQuickB,valuB,visiblB,CTaskFE,CTaskMC,CTaskTopic,CTopicError,CTaskTopicTryAgain,answerC,attentionCheckC,clearDataC,clearRepresentC,clearRepresentC_other_,crowdC,complexC,confidC,confusC,confusC_other_,messiC,deciphC,distinguishC,distinguishC_other_,distractC,distractC_other_,effectC,findC,identifiC,informC,informC_other_,lostC,meanElemC,meanOveralC,obviousC,obviousC_other_,organizC,representC,representC_other_,readC,readC_other_,readablC,seeC,seeC_other_,simplC,understandEasiC,understandQuickC,understandQuickC_other_,valuC,valuC_other_,visiblC,visiblC_other_,DTaskFE,DTaskMC,DTaskTopic,DTopicError,DTaskTopicTryAgain,answerD,attentionCheckD,clearDataD,clearRepresentD,crowdD,crowdD_other_,complexD,complexD_other_,confidD,confidD_other_,confusD,confusD_other_,messiD,deciphD,deciphD_other_,distinguishD,distinguishD_other_,distractD,effectD,effectD_other_,findD,identifiD,identifiD_other_,informD,lostD,meanElemD,meanElemD_other_,meanOveralD,meanOveralD_other_,obviousD,organizD,organizD_other_,representD,representD_other_,readD,readD_other_,readablD,readablD_other_,seeD,simplD,simplD_other_,understandEasiD,understandEasiD_other_,understandQuickD,understandQuickD_other_,valuD,valuD_other_,visiblD,visiblD_other_,interviewtime,CF001Time,colorDeficiencyTime,IntroTime,ATaskRVTime,ATaskFETime,ATaskTopicTime,answerATime,attentionCheckATime,clearDataATime,clearRepresentATime,crowdATime,complexATime,confidATime,confusATime,messiATime,deciphATime,distinguishATime,distractATime,effectATime,findATime,identifiATime,informATime,lostATime,meanElemATime,meanOveralATime,obviousATime,organizATime,representATime,readATime,readablATime,seeATime,simplATime,understandEasiATime,understandQuickATime,valuATime,visiblATime,BTaskRVTime,BTaskFCTTime,BTaskTopicTime,answerBTime,attentionCheckBTime,clearDataBTime,clearRepresentBTime,crowdBTime,complexBTime,confidBTime,confusBTime,messiBTime,deciphBTime,distinguishBTime,distractBTime,effectBTime,findBTime,identifiBTime,informBTime,lostBTime,meanElemBTime,meanOveralBTime,obviousBTime,organizBTime,representBTime,readBTime,readablBTime,seeBTime,simplBTime,understandEasiBTime,understandQuickBTime,valuBTime,visiblBTime,CTaskFETime,CTaskMCTime,CTaskTopicTime,CTopicErrorTime,CTaskTopicTryAgainTime,answerCTime,attentionCheckCTime,clearDataCTime,clearRepresentCTime,crowdCTime,complexCTime,confidCTime,confusCTime,messiCTime,deciphCTime,distinguishCTime,distractCTime,effectCTime,findCTime,identifiCTime,informCTime,lostCTime,meanElemCTime,meanOveralCTime,obviousCTime,organizCTime,representCTime,readCTime,readablCTime,seeCTime,simplCTime,understandEasiCTime,understandQuickCTime,valuCTime,visiblCTime,DTaskFETime,DTaskMCTime,DTaskTopicTime,DTopicErrorTime,DTaskTopicTryAgainTime,answerDTime,attentionCheckDTime,clearDataDTime,clearRepresentDTime,crowdDTime,complexDTime,confidDTime,confusDTime,messiDTime,deciphDTime,distinguishDTime,distractDTime,effectDTime,findDTime,identifiDTime,informDTime,lostDTime,meanElemDTime,meanOveralDTime,obviousDTime,organizDTime,representDTime,readDTime,readablDTime,seeDTime,simplDTime,understandEasiDTime,understandQuickDTime,valuDTime,visiblDTime,ETaskRV,ETaskCl,ETaskTopic,answerE,answerE_other_,attentionCheckE,clearDataE,clearRepresentE,crowdE,complexE,confidE,confusE,messiE,deciphE,distinguishE,distractE,effectE,findE,identifiE,informE,lostE,meanElemE,meanElemE_other_,meanOveralE,obviousE,obviousE_other_,organizE,representE,readE,readablE,seeE,simplE,understandEasiE,understandQuickE,valuE,valuE_other_,visiblE,FTaskRV,FTaskFCT,FTaskTopic,answerF,attentionCheckF,clearDataF,clearRepresentF,crowdF,complexF,confidF,confusF,messiF,deciphF,distinguishF,distractF,effectF,findF,identifiF,informF,lostF,meanElemF,meanOveralF,obviousF,organizF,organizF_other_,representF,readF,readablF,seeF,simplF,understandEasiF,understandQuickF,valuF,visiblF,ETaskRVTime,ETaskClTime,ETaskTopicTime,answerETime,attentionCheckETime,clearDataETime,clearRepresentETime,crowdETime,complexETime,confidETime,confusETime,messiETime,deciphETime,distinguishETime,distractETime,effectETime,findETime,identifiETime,informETime,lostETime,meanElemETime,meanOveralETime,obviousETime,organizETime,representETime,readETime,readablETime,seeETime,simplETime,understandEasiETime,understandQuickETime,valuETime,visiblETime,FTaskRVTime,FTaskFCTTime,FTaskTopicTime,answerFTime,attentionCheckFTime,clearDataFTime,clearRepresentFTime,crowdFTime,complexFTime,confidFTime,confusFTime,messiFTime,deciphFTime,distinguishFTime,distractFTime,effectFTime,findFTime,identifiFTime,informFTime,lostFTime,meanElemFTime,meanOveralFTime,obviousFTime,organizFTime,representFTime,readFTime,readablFTime,seeFTime,simplFTime,understandEasiFTime,understandQuickFTime,valuFTime,visiblFTime,FTopicError,FTaskTopicTryAgain,seeF_other_,FTopicErrorTime,FTaskTopicTryAgainTime,clearDataE_other_,clearRepresentE_other_,complexE_other_,confidE_other_,distinguishE_other_,distractE_other_,effectE_other_,informE_other_,lostE_other_,meanOveralE_other_,organizE_other_,representE_other_,readE_other_,readablE_other_,seeE_other_,simplE_other_,understandEasiE_other_,understandQuickE_other_,visiblE_other_,answerF_other_,clearDataF_other_,complexF_other_,confidF_other_,confusF_other_,messiF_other_,deciphF_other_,distinguishF_other_,findF_other_,lostF_other_,meanOveralF_other_,readF_other_,simplF_other_,understandQuickF_other_,visiblF_other_
32486841921,82,2023-12-19 17:27:54,147,48.0,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),True,True,https://app.prolific.com/,No,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,more from China,Distribution of students enrolled in an online program,,,Strongly agree,Slightly agree,Agree,Agree,,Strongly agree,Agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Agree,,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Agree,Strongly agree,,Agree,,Strongly agree,Agree,,Agree,Agree,Strongly agree,,Strongly agree,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.8,11.47,26.35,26.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.94,11.22,11.14,,,5.53,10.65,5.37,7.26,46.68,5.52,17.35,5.68,5.13,5.96,8.27,6.08,5.84,6.68,9.9,4.96,5.39,6.08,4.46,9.04,5.06,14.11,5.25,5.54,8.09,5.83,5.18,9.69,5.18,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50554886634,82,2023-12-20 16:41:19,147,49.0,Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),True,True,https://app.prolific.com/,No,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,more from China,Distribution of students enrolled in an online program,,,Agree,Slightly agree,Agree,Slightly agree,,Agree,Agree,Strongly agree,Strongly agree,,Agree,Agree,Strongly agree,,Strongly agree,,Agree,Strongly agree,Strongly agree,Agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Agree,,Strongly agree,,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.63,12.15,14.24,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.12,39.25,23.52,,,11.21,15.22,27.63,20.38,22.97,15.62,9.41,9.25,11.48,13.69,10.81,9.78,23.76,8.06,10.15,18.84,11.8,10.07,22.04,8.35,10.18,14.59,6.61,8.56,15.62,10.36,13.15,8.15,7.95,15.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124526069594,82,2023-12-18 16:26:34,147,58.0,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),True,True,https://app.prolific.com/,No,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing,True,Average distribution of European households’ spendings,,,Slightly disagree,Slightly agree,Disagree,Disagree,Neutral,,Disagree,,Slightly disagree,,Slightly disagree,,Slightly disagree,Disagree,,Strongly disagree,,Disagree,Disagree,,Disagree,Strongly disagree,,Strongly disagree,Slightly disagree,Slightly disagree,,Disagree,,Slightly disagree,Slightly disagree,,Slightly disagree,,Strongly disagree,,Disagree,,Strongly disagree,Strongly disagree,,Disagree,,Strongly disagree,,Slightly disagree,,Slightly disagree,,299.19,10.24,11.24,18.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.91,23.4,15.04,,,6.07,7.44,16.23,5.13,8.48,4.59,5.89,5.65,4.87,4.96,5.67,6.23,7.51,6.67,5.0,5.45,5.02,6.16,6.95,5.81,3.74,4.26,4.15,4.76,5.72,3.8,4.13,4.41,4.68,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181562174960,82,2023-12-18 11:25:00,147,20.0,Man (including Trans Male/Trans Man),Don't know / not applicable,True,True,https://app.prolific.com/,No,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,more from China,Distribution of students enrolled in an online program,,,Agree,Slightly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,,Agree,,Strongly agree,Agree,Strongly agree,Agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Agree,Strongly agree,,Strongly agree,,Strongly agree,Slightly agree,,Strongly agree,Agree,Strongly agree,,Strongly agree,,Slightly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.28,14.82,23.03,43.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.58,14.6,20.97,,,8.2,8.99,5.51,8.78,6.93,12.01,5.1,5.57,7.34,8.5,8.35,29.0,7.04,7.7,5.42,6.9,5.61,6.59,6.8,10.16,5.34,14.19,5.26,4.68,9.02,4.12,4.43,5.57,6.43,10.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64395515173,82,2023-12-18 16:13:31,147,58.0,Man (including Trans Male/Trans Man),High school diploma/A-levels,True,True,https://app.prolific.com/,No,,1.0,20.76 Mbps,Papua New Guinea,Broadband downloading speed in Oceania,Strongly agree,,Slightly agree,Strongly agree,,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,,Strongly agree,,Strongly agree,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,,Strongly agree,Strongly agree,,Agree,,Neutral,Strongly agree,,Strongly agree,Strongly agree,Slightly agree,,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.27,12.89,15.95,32.84,38.68,12.99,8.78,8.21,10.11,13.49,7.77,7.22,5.73,7.17,5.87,9.66,9.83,11.79,8.2,8.51,9.04,7.56,5.82,9.41,22.66,16.09,6.8,8.25,9.58,5.37,8.93,13.34,6.14,6.37,5.81,10.11,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121741893099,82,2023-12-19 13:50:07,147,36.0,Man (including Trans Male/Trans Man),Graduate degree (MA/MSc/MPhil/other),False,True,https://app.prolific.com/,No,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,more from China,Distribution of students enrolled in an online program,,,Strongly agree,Slightly agree,Agree,Agree,,Agree,Agree,Strongly agree,Agree,,Agree,Agree,Agree,,Strongly agree,,Strongly agree,Agree,Agree,Agree,,Agree,Strongly agree,Agree,Strongly agree,,Strongly agree,Strongly agree,,Strongly agree,,Agree,Agree,,Agree,Strongly agree,Strongly agree,,Slightly agree,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.59,13.09,16.32,21.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.83,25.65,18.01,,,7.82,14.74,8.07,7.71,11.85,16.67,5.77,24.28,10.56,17.86,14.29,13.73,7.0,5.95,8.4,9.01,12.53,12.48,13.39,13.04,5.71,7.41,6.46,10.27,10.78,9.96,8.52,7.77,14.48,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129920351336,82,2023-12-21 21:28:41,147,31.0,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),False,True,https://app.prolific.com/,No,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55$,Increasing,Evolution of fruits prices between January and March,Agree,,Slightly agree,Agree,Agree,Slightly agree,Strongly agree,,Agree,Slightly agree,Slightly agree,,Agree,,Strongly agree,Agree,,Agree,Agree,Strongly agree,Agree,Agree,,Agree,Agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Agree,,Agree,Strongly agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.81,9.64,214.41,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.65,23.85,9.22,4.98,7.85,7.59,3.42,3.22,6.64,110.84,4.19,5.07,5.17,6.74,3.82,44.53,5.68,4.37,3.91,3.26,3.39,2.86,4.04,14.23,3.84,3.48,3.53,3.32,3.98,4.69,2.84,3.39,7.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134506442547,82,2023-12-20 14:21:53,147,32.0,Woman (including Trans Female/Trans Woman),High school diploma/A-levels,False,True,https://app.prolific.com/,No,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing,True,Average distribution of European households’ spendings,,,Neutral,Slightly agree,Slightly disagree,Disagree,Slightly agree,,Neutral,,Strongly agree,,Strongly disagree,,Strongly disagree,Disagree,,Agree,,Slightly disagree,Disagree,,Agree,Disagree,,Strongly disagree,Slightly disagree,Agree,,Slightly agree,,Strongly agree,Slightly disagree,,Strongly agree,,Disagree,,Slightly disagree,,Neutral,Strongly disagree,,Slightly agree,,Agree,,Slightly agree,,Neutral,,454.01,8.16,9.7,48.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.35,22.25,17.52,,,10.72,7.7,6.66,14.46,4.23,6.48,3.41,5.11,5.09,10.33,8.21,4.84,5.26,4.92,6.68,4.72,6.47,113.19,4.74,12.61,4.2,4.17,4.33,5.89,8.0,4.49,3.01,6.3,23.64,7.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17553331433,82,2023-12-20 16:48:34,147,42.0,Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),True,True,https://app.prolific.com/,No,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing,True,Average distribution of European households’ spendings,,,Slightly agree,Slightly agree,Neutral,Disagree,Agree,,Disagree,,Slightly agree,,Disagree,,Slightly disagree,Disagree,,Slightly disagree,,Slightly disagree,Neutral,,Slightly agree,Agree,,Neutral,Slightly agree,Slightly disagree,,Agree,,Slightly agree,Neutral,,Slightly agree,,Neutral,,Disagree,,Slightly agree,Slightly disagree,,Slightly agree,,Agree,,Slightly agree,,Neutral,,1064.86,17.17,5.9,822.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.43,20.97,5.03,,,5.38,6.29,4.7,5.29,6.09,8.61,5.5,5.7,5.22,4.48,4.82,13.4,7.73,5.27,5.76,6.08,5.96,5.94,7.17,4.36,4.85,5.13,4.76,6.87,5.79,4.94,4.75,4.86,4.09,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28143561478,82,2023-12-18 10:12:14,147,26.0,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),True,True,https://app.prolific.com/,No,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,more from China,Distribution of students enrolled in an online program,,,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,,Slightly agree,Neutral,Strongly agree,Strongly agree,,Slightly agree,Agree,Strongly agree,,Strongly agree,,Strongly agree,Neutral,Slightly agree,Disagree,,Neutral,Agree,Agree,Slightly agree,,Agree,Agree,,Agree,,Agree,Agree,,Agree,Slightly agree,Agree,,Slightly agree,,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.22,11.87,6.93,16.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.14,8.62,8.41,,,9.65,5.39,7.92,6.61,8.43,11.25,3.82,4.02,16.48,14.39,7.72,9.3,6.03,7.25,6.56,48.43,6.89,6.35,10.14,8.51,11.34,7.54,7.07,15.84,10.02,14.37,12.93,4.93,8.68,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141687625080,82,2023-12-18 16:26:01,147,23.0,Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),True,True,https://app.prolific.com/,No,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing,True,Average distribution of European households’ spendings,,,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,,Agree,,Slightly agree,,Slightly disagree,,Disagree,Slightly agree,,Strongly agree,,Agree,Slightly agree,,Agree,Agree,,Strongly agree,Neutral,Agree,,Agree,,Strongly agree,Strongly agree,,Slightly agree,,Slightly agree,,Slightly agree,,Agree,Slightly disagree,,Slightly agree,,Slightly agree,,Agree,,Strongly agree,,285.04,9.85,6.4,15.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,19.38,10.07,,,6.4,5.86,10.76,10.41,5.64,5.73,4.56,16.44,6.71,4.79,6.29,10.22,7.08,8.76,5.39,5.9,5.68,4.12,6.43,8.0,3.73,4.87,3.71,5.53,6.39,7.24,4.8,8.65,11.67,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19759679496,82,2023-12-18 12:02:59,147,25.0,Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),False,True,https://app.prolific.com/,No,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.61$,Increasing,Evolution of fruits prices between January and March,Strongly agree,,Slightly agree,Agree,Agree,Agree,Slightly agree,,Strongly agree,Agree,Agree,,Agree,,Agree,Strongly agree,,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.76,7.16,16.29,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.79,17.23,13.68,3.04,4.47,2.26,1.77,2.13,4.25,2.7,4.61,2.07,3.05,2.16,4.63,2.48,2.08,2.34,2.42,4.26,3.4,5.96,8.55,2.12,8.98,2.28,3.07,2.33,1.47,1.65,13.69,3.21,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
